"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.9029258958789e-12,117,2143,2.12563892052226,"GO:0008283 cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008283"," CAV2  CAV1  FOXM1  LIFR  HELLS  TEK  SIX1  IL6  TFAP2A  VSIG4  PLA2G1B  GKN2  LGALS7  FERMT1  FAM83D  RGCC  HYAL1  IGFBP2  IRF6  KIF14  NR4A3  FGFBP1  SULF1  GATA6  CDCA7  IGFBP3  HMGA2  ANGPT1  PROK2  DLC1  MELK  GREM1  COL4A3  SOX7  JUP  CXCR2  SOX2  PRAME  ADARB1  AQP1  MMP12  CD24  CFLAR  ALOX5  MCM10  TIE1  ASPM  TP63  CPB2  BIRC5  CDC6  GINS1  FOXF1  SLC7A5  PTPRZ1  EZH2  OGN  PTGDS  SLC6A4  ZBTB16  IFT57  LEPR  CDC20  GJB6  CCNB1  EDNRB  IL33  CCNA2  SCGB1A1  CHEK1  SLC7A11  ABI3BP  UCHL1  HPGDS  HPGD  HHIP  SOX17  CTHRC1  CX3CR1  COL3A1  ATOH8  BUB1  CDK1  ID4  AURKB  CDH5  LGR4  SERPINB5  MUSTN1  DACH1  AGTR1  SERPINB3  CDH3  SMAD6  CLDN1  MNDA  FAM83B  LRRK2  GRK5  PRC1  AGER  EMP2  UHRF1  ID2  RBP4  SCGB3A1  KRT6A  PTHLH  CDKN3  NAMPT  TTK  VIPR1  SFTPD  ADAMTS8  MKI67  BNC1  CCL14"
2.9029258958789e-12,40,355,4.46857018781891,"GO:0030198 extracellular matrix organization "," http://amigo.geneontology.org/amigo/term/GO:0030198"," COL11A1  NTN4  MMP11  COL1A1  COL10A1  COL5A1  POSTN  ADAMTS8  SULF1  FBLN5  ABI3BP  COL1A2  MFAP4  MMP10  COL3A1  COL4A3  NDNF  MMP1  COL5A2  COL6A6  MMP12  MMP28  RGCC  CFLAR  TIE1  ITGA8  CPB2  FERMT1  FOXF1  CAV2  CAV1  SPOCK2  SLC39A8  ADAMTSL4  WDR72  SERPINB5  ADTRP  IL6  GREM1  COL12A1"
2.9029258958789e-12,40,356,4.45382243142347,"GO:0043062 extracellular structure organization "," http://amigo.geneontology.org/amigo/term/GO:0043062"," COL11A1  NTN4  MMP11  COL1A1  COL10A1  COL5A1  POSTN  ADAMTS8  SULF1  FBLN5  ABI3BP  COL1A2  MFAP4  MMP10  COL3A1  COL4A3  NDNF  MMP1  COL5A2  COL6A6  MMP12  MMP28  RGCC  CFLAR  TIE1  ITGA8  CPB2  FERMT1  FOXF1  CAV2  CAV1  SPOCK2  SLC39A8  ADAMTSL4  WDR72  SERPINB5  ADTRP  IL6  GREM1  COL12A1"
2.9029258958789e-12,40,359,4.43917169974116,"GO:0045229 external encapsulating structure organization "," http://amigo.geneontology.org/amigo/term/GO:0045229"," COL11A1  NTN4  MMP11  COL1A1  COL10A1  COL5A1  POSTN  ADAMTS8  SULF1  FBLN5  ABI3BP  COL1A2  MFAP4  MMP10  COL3A1  COL4A3  NDNF  MMP1  COL5A2  COL6A6  MMP12  MMP28  RGCC  CFLAR  TIE1  ITGA8  CPB2  FERMT1  FOXF1  CAV2  CAV1  SPOCK2  SLC39A8  ADAMTSL4  WDR72  SERPINB5  ADTRP  IL6  GREM1  COL12A1"
1.12018336508743e-11,102,1835,2.20169283534187,"GO:0042127 regulation of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0042127"," CAV2  CAV1  FOXM1  LIFR  SIX1  IL6  TFAP2A  VSIG4  PLA2G1B  GKN2  LGALS7  RGCC  HYAL1  IGFBP2  IRF6  KIF14  NR4A3  FGFBP1  SULF1  GATA6  CDCA7  IGFBP3  HMGA2  ANGPT1  DLC1  GREM1  COL4A3  SOX7  JUP  CXCR2  SOX2  PRAME  ADARB1  AQP1  MMP12  CD24  CFLAR  ALOX5  TIE1  ASPM  TP63  CPB2  BIRC5  CDC6  FERMT1  FOXF1  SLC7A5  PTPRZ1  EZH2  OGN  PTGDS  SLC6A4  ZBTB16  IFT57  CDC20  GJB6  CCNB1  EDNRB  IL33  CCNA2  SCGB1A1  CHEK1  SLC7A11  ABI3BP  HPGDS  HPGD  SOX17  CTHRC1  CX3CR1  CDK1  ID4  CDH5  SERPINB5  MUSTN1  DACH1  AGTR1  SERPINB3  CDH3  SMAD6  CLDN1  MNDA  ATOH8  LRRK2  GRK5  PRC1  AGER  EMP2  UHRF1  ID2  RBP4  SCGB3A1  KRT6A  PTHLH  CDKN3  NAMPT  TTK  VIPR1  TEK  SFTPD  ADAMTS8  BNC1  CCL14"
1.34526636879777e-11,113,2086,2.07758073882164,"GO:0009888 tissue development "," http://amigo.geneontology.org/amigo/term/GO:0009888"," NTN4  PTHLH  COL12A1  SIX1  SCEL  GATA6  ZNF750  PGM5  CLEC3B  KRT15  KRT13  KRT6B  KRT5  KRT16  KRT14  KRT6A  DSP  FAM83D  RGCC  EZH2  COL1A1  ZBTB16  UPK1B  EFEMP1  GLIPR2  COL5A1  IL6  NKX2-1  TFAP2A  HMGA2  IVL  SOX17  ATOH8  SPRR1B  SPRR1A  SOX7  SOX2  COL5A2  MMP12  FGR  CFLAR  ALOX5  COL11A1  TIE1  PITX1  TP63  ITGA8  FERMT1  FOXF1  CAV2  CAV1  COBL  FOLR1  IFT57  IRF6  CENPF  TCF21  SPP1  FLRT3  KLF2  POSTN  EDNRB  SULF1  SMAD6  ADAMTSL4  SLC7A11  KIF26B  SPRR3  CLDN1  HHIP  COL1A2  CTHRC1  GJB2  TMEM100  WDR72  GREM1  COL3A1  ADRB2  LDB2  CDK1  ID4  TYMS  FOXE1  AGTR2  CXCR2  SPRR2B  ADARB1  LGR4  SERPINB5  EMP2  AQP1  MUSTN1  HYAL1  CRIP1  DSG2  SERPINB3  CDH3  TNNC1  FOXA2  ROBO4  TPPP3  ZBED2  CDH5  CD24  ESRP1  ID2  RBP4  DLC1  GJB6  RHCG  S100A7  CRABP2  BNC1"
3.61536693042404e-11,30,209,5.32700603968939,"GO:0000070 mitotic sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000070"," NDC80  NCAPG  TTK  NCAPH  ZWINT  CCNB1  CDCA8  NUSAP1  KIF23  NUF2  CDCA5  BUB1B  MAD2L1  PTTG1  BUB1  UBE2C  PRC1  BIRC5  CDC20  AURKB  CENPE  NEK2  TRIP13  SPAG5  KIF4A  CDC6  KIF14  KIF2C  CENPF  DLGAP5"
3.61536693042404e-11,32,238,4.99817850637523,"GO:0000819 sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000819"," NDC80  NCAPG  TTK  NCAPH  ZWINT  TOP2A  CCNB1  CDCA8  NUSAP1  KIF23  NUF2  CDCA5  BUB1B  MAD2L1  PTTG1  BUB1  UBE2C  RMI2  PRC1  BIRC5  CDC20  AURKB  CENPE  NEK2  TRIP13  SPAG5  KIF4A  CDC6  KIF14  KIF2C  CENPF  DLGAP5"
3.61536693042404e-11,94,1729,2.24440499808569,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," HBB  SELE  DSG2  CDH3  LIMCH1  CLDN18  NTN4  ITGA8  PKP1  IGSF9  SORBS1  DSP  FERMT1  ICAM4  CEACAM5  FOLR1  PERP  SPP1  COL5A1  POSTN  DSG3  DSC3  ROBO4  ABI3BP  JAM2  VSIG4  CLDN1  OLR1  CLDN22  CDH5  PCDH9  LGALS7  EMP2  FOXA2  RGCC  CAV1  IGFBP2  KIF14  FLRT3  AOC3  CD36  IL6  SPOCK1  ANGPT1  EMCN  DLC1  CX3CR1  COL3A1  JUP  MMP12  CD24  ALOX5  ARHGAP6  FOXF1  SPOCK2  COL1A1  ZBTB16  COL12A1  LYPD3  PDZD2  LYVE1  LMO7  TRIM29  CLCA2  SLC39A8  FBLN5  ADAM12  SCGB1A1  SLC7A11  DST  PGM5  KIF26B  MFAP4  GREM1  LY6D  STXBP6  COL4A3  AQP4  NDNF  SOX2  THBS2  GLDN  COL6A6  AGER  ADTRP  HYAL1  NR4A3  TEK  SMAD6  FAM107A  S100A10  CXCL13  ADAMDEC1  SFTPD"
3.93262137749351e-11,38,346,4.18964963034394,"GO:0140014 mitotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0140014"," NDC80  TPX2  NCAPG  TTK  NCAPH  ZWINT  CCNB1  CDCA8  NUSAP1  KIF23  KIF11  NUF2  CDCA5  MKI67  BUB1B  MAD2L1  PTTG1  BUB1  UBE2C  PRC1  BIRC5  CDC20  AURKB  RGCC  CENPE  CHEK1  AURKA  NEK2  CAV2  TRIP13  SPAG5  KIF4A  CDC6  KIF14  KIF2C  CENPF  DLGAP5  ANLN"
