ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0000018	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	regulation of DNA recombination	[5, 6, 7, 8]	[None]	2	1.4492754	0.19175085612392845	0.2146857624446336	{}	{}	[RMI2, SPIDR]	[ACTB, ACTL6A, ACTR2, ALYREF, ANKLE1, APLF, ARID2, ATAD5, BCL6, BLM, BRD8, CD28, CD40, CGAS, CHEK1, CLCF1, DMAP1, EP400, EPC1, EPC2, ERCC2, ERCC6, EXOSC3, EXOSC6, FANCB, FBH1, FIGNL1, FOXP3, FUS, H1-0, H1-1, H1-10, H1-2, H1-3, H1-4, H1-5, H1-6, H1-8, H1-9P, HDGFL2, HELB, HELQ, HMCES, IL10, IL2, IL27RA, IL4, IL7R, ING3, INSL6, KAT5, KDM1A, KHDC3L, KLHL15, KMT5B, KMT5C, KPNA1, KPNA2, LRIF1, MAD2L2, MAGEF1, MBTD1, MEAF6, MLH1, MMS19, MORF4L1, MORF4L2, MRE11, MRGBP, MRNIP, MSH2, MSH3, MSH6, NDFIP1, NPC1, NSD2, OOEP, PARP1, PARP3, PARPBP, PAXIP1, PIAS4, POGZ, POLK, POLQ, POLR1B, PPP4C, PPP4R2, PRDM7, PRDM9, PTPRC, RAD50, RAD51, RAD51AP1, RADX, RBBP8, RECQL5, RIF1, RMI2, RPA2, RTEL1, RUVBL1, RUVBL2, SETD2, SHLD1, SHLD2, SIRT6, SLC15A4, SMARCAD1, SMCHD1, SPIDR, STAT6, SUPT6H, TBX21, TERF2, TERF2IP, TEX15, TFRC, TGFB1, THOC1, TIMELESS, TNFSF13, TNFSF4, TP53BP1, TRAPPC13, TRRAP, UBE2B, UBQLN4, USP51, VPS72, WAS, WDR48, WRAP53, YEATS4, ZCWPW1, ZNF365, ZRANB3, ZSCAN4]	TRUE
GO:0000041	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	transition metal ion transport	[7]	[None]	2	1.9230769	0.12278315718405751	0.15897773866688628	{}	{}	[CP, SLC39A8]	[ABCB6, ABCB7, ABCC5, ARHGAP1, ASIC3, ATOX1, ATP13A1, ATP2C1, ATP2C2, ATP7A, ATP7B, B2M, CBLIF, CFAP276, CLTC, CLU, COX17, CP, CUTC, CYBRD1, DNM2, F3, FKBP4, FKBPL, FLVCR1, FLVCR2, FTH1, FTHL17, FTL, HAMP, HEPH, HFE, HPX, HRG, IFNG, IREB2, ISCU, LCN2, LMTK2, LTF, MCOLN1, MELTF, MMGT1, MT3, NECTIN1, NRG1, PGRMC2, RAB11B, RAB43, SCARA5, SFXN1, SLC11A1, SLC11A2, SLC1A1, SLC22A17, SLC25A28, SLC25A37, SLC30A1, SLC30A10, SLC30A2, SLC30A3, SLC30A4, SLC30A5, SLC30A6, SLC30A7, SLC30A8, SLC30A9, SLC31A1, SLC31A2, SLC39A1, SLC39A10, SLC39A11, SLC39A12, SLC39A13, SLC39A14, SLC39A2, SLC39A3, SLC39A4, SLC39A5, SLC39A6, SLC39A7, SLC39A8, SLC39A9, SLC40A1, SLC46A1, SLC48A1, STEAP2, STEAP3, STEAP4, TCN1, TCN2, TF, TFR2, TFRC, TMEM163, TMEM165, TRPC1, TRPC3, TRPC4, TRPC5, TRPC6, TRPC7, TRPM2, TTYH1]	TRUE
GO:0000070	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	mitotic sister chromatid segregation	[4, 5, 6, 7, 8]	[None]	4	1.9047619	0.03420083437119245	0.07780349173685613	{}	{}	[CDC20, CDC6, NEK2, TRIP13]	[ACTB, ACTL6A, ACTL6B, AKAP8, AKAP8L, ANAPC1, ANAPC11, ANAPC15, ANAPC2, ANAPC4, ANAPC5, ANAPC7, ANKRD53, APC, ARID1A, ARID1B, ARID2, ATM, ATRX, AURKB, AURKC, BAZ1B, BCL7A, BCL7B, BCL7C, BECN1, BIRC5, BOD1, BRD7, BUB1, BUB1B, BUB3, CCNB1, CDC16, CDC20, CDC23, CDC26, CDC27, CDC6, CDCA5, CDCA8, CDK5RAP2, CDT1, CENPC, CENPE, CENPF, CENPK, CEP55, CHAMP1, CHMP1A, CHMP1B, CHMP2A, CHMP2B, CHMP3, CHMP4B, CHMP4C, CHMP5, CHMP6, CHMP7, CHTF8, CUL3, DCTN2, DIS3L2, DLGAP5, DPF1, DPF2, DPF3, DSCC1, DSN1, DUSP1, DUSP12, DYNC1LI1, EML3, EML4, ESCO1, ESCO2, ESPL1, FBXO5, GEN1, HASPIN, HECW2, HNRNPU, IK, INCENP, INO80, KANSL1, KAT2B, KAT5, KATNB1, KCNN4, KIF11, KIF14, KIF18A, KIF18B, KIF22, KIF23, KIF25, KIF2C, KIF4A, KIFC1, KLHL22, KMT5A, KNSTRN, KNTC1, KPNB1, LCMT1, MACROH2A1, MAD1L1, MAD2L1, MAD2L1BP, MAD2L2, MAP10, MAPRE1, MAU2, MIS12, NAA10, NAA50, NCAPD2, NCAPD3, NCAPG, NCAPG2, NCAPH, NCAPH2, NDC80, NEK2, NEK6, NIPBL, NPC1, NSL1, NSMCE2, NUDC, NUF2, NUMA1, NUP62, NUSAP1, PBRM1, PCID2, PDCD6IP, PDS5A, PDS5B, PHF10, PHF13, PIBF1, PINX1, PLK1, POGZ, PPP2R1A, PRAP1, PRC1, PROC, PSMG2, PSRC1, PTTG1, PTTG2, PTTG3P, RAB11A, RAB33B, RACGAP1, RAD21, RAN, RB1, RIOK2, RMDN1, RRS1, SEH1L, SGO1, SGO2, SLF1, SLF2, SMARCA2, SMARCA4, SMARCA5, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SMC1A, SMC2, SMC3, SMC4, SMC5, SPAG5, SPC24, SPC25, SPDL1, TACC3, TENT4A, TEX14, TNKS, TPR, TRIP13, TTK, TTN, TTR, TUBG1, TUBG2, UBE2C, UBE2DNL, USP44, VPS4A, VPS4B, WRAP73, XRCC3, ZNF207, ZW10, ZWILCH, ZWINT]	TRUE
GO:0000075	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	cell cycle checkpoint signaling	[4, 5, 6, 7, 8]	[None]	5	2.4875622	0.006368683467685119	0.0374898789695691	{}	{}	[CDC20, CDC45, CDC6, RRAD, TRIP13]	[ABRAXAS1, ANAPC15, ANTXR1, APC, ARTN, ATF2, ATM, ATR, AURKB, BABAM1, BABAM2, BARD1, BIRC5, BLM, BRCA1, BRCA2, BRCC3, BRIP1, BRSK1, BUB1, BUB1B, BUB3, CASP2, CCAR2, CCNB1, CCND1, CCNG1, CDC14B, CDC20, CDC45, CDC5L, CDC6, CDCA8, CDK1, CDK2, CDK5RAP2, CDK5RAP3, CDKN1A, CDKN1B, CDT1, CENPF, CEP63, CHEK1, CHEK2, CHFR, CHMP4C, CLOCK, CLSPN, CRADD, CRY1, CUL4A, DDX39B, DEPDC1B, DNA2, DONSON, DOT1L, DTL, DUSP1, DUSP12, DYNC1LI1, E2F1, EIF2AK4, EME1, EME2, ERCC4, ERCC6, ETAA1, FANCD2, FBXO31, FBXO4, FBXO6, FEM1B, FOXN3, FOXO4, FZR1, GDNF, GEN1, GIGYF2, GML, GTSE1, H2AX, HASPIN, HINFP, HORMAD1, HUS1, HUS1B, IK, INCENP, INIP, INTS3, INTS7, KCNN4, KLHL22, KNTC1, LCMT1, MAD1L1, MAD2L1, MAD2L1BP, MAD2L2, MAP3K20, MAPK14, MDC1, MDM2, MMAB, MRE11, MRNIP, MRPL36, MSH2, MUC1, MUS81, NABP1, NABP2, NAE1, NBN, NDC80, NEK11, NOP53, NSUN2, NUF2, ORC1, PABIR1, PBK, PCID2, PIDD1, PLK1, PLK2, PLK3, PLK5, PML, POLR1B, PPP1R10, PRAP1, PRKDC, PROC, PROX1, PRPF19, PSMG2, PTPN11, RAD1, RAD17, RAD50, RAD51, RAD9A, RAD9B, RBBP8, RFWD3, RHNO1, RINT1, RNASE6, RNASEH2B, RPA2, RPA4, RPS27L, RRAD, SDE2, SERPINA2, SETMAR, SLC25A15, SPC24, SPC25, SPDL1, STK33, SYF2, TAOK1, TAOK2, TAOK3, TELO2, TEX14, THOC1, THOC5, TICRR, TIMELESS, TIPIN, TIPRL, TNFSF13B, TOPBP1, TP53, TP53BP1, TPR, TREX1, TRIAP1, TRIM39, TRIP13, TTI1, TTI2, TTK, UIMC1, USP28, USP44, VPS4A, WAC, WDR76, XPC, XRCC3, ZFYVE19, ZNF207, ZNF367, ZNF830, ZW10, ZWILCH, ZWINT]	TRUE
GO:0000076	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	DNA replication checkpoint signaling	[6, 7, 8, 9, 10]	[None]	2	11.111111	0.004823545797904774	0.03278862679290031	{}	{}	[CDC45, CDC6]	[CDC45, CDC6, CDT1, CLSPN, DNA2, HUS1, HUS1B, NAE1, ORC1, RAD17, RAD9A, RAD9B, SLC25A15, TICRR, TIMELESS, TIPIN, TOPBP1, ZNF830]	TRUE
GO:0000079	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	regulation of cyclin-dependent protein serine/threonine kinase activity	[5, 6, 7, 8, 9, 10, 11]	[None]	4	4.123711	0.0024648013468448254	0.02165233183151377	{}	{}	[CCNB2, CDC6, CDKN3, MCM2]	[ACTB, ADAM17, AKT1, APC, BCCIP, BLM, CASP3, CCNA1, CCNA2, CCNB1, CCNB2, CCNB3, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNF, CCNG1, CCNG2, CCNH, CCNI, CCNJ, CCNJL, CCNK, CCNL1, CCNO, CCNP, CCNT1, CCNT2, CCNY, CCNYL1, CCNYL2, CDC25A, CDC25C, CDC37, CDC6, CDK5R1, CDK5R2, CDK5RAP1, CDK5RAP2, CDK5RAP3, CDK7, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CDKN3, CEBPA, CKS1B, CKS2, CNPPD1, DIRAS3, EGFR, FBXO7, GADD45A, GTF2H1, GTPBP4, HERC5, HEXIM1, HEXIM2, HHEX, IPO5, IPO7, KAT2B, LATS1, LATS2, MAPRE3, MCM2, MEN1, MNAT1, MYOCD, NR2F2, PDGFB, PKD1, PKD2, PKMYT1, PLK1, PRKD2, PROC, PROX1, PSMD10, PSRC1, PTEN, REXO2, RGCC, SERTAD1, SFN, SPDYA, SPDYE1, SPDYE2, SRC, TFAP4, TNFAIP3]	TRUE
GO:0000082	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	G1/S transition of mitotic cell cycle	[5, 6]	[None]	3	1.2987013	0.15157707537703868	0.1841500213623172	{}	{}	[CDC6, CDKN3, HYAL1]	[ACTB, ACTL6A, ACTL6B, ACVR1, ACVR1B, ADAM17, ADAMTS1, AIF1, AKT1, AMBRA1, ANKRD17, ANXA1, APC, APEX1, APLP2, APPL1, APPL2, ARID1A, ARID1B, ARID2, ATM, BACH1, BCAT1, BCL2, BCL7A, BCL7B, BCL7C, BID, BRD4, BRD7, BRIP1, BTN2A2, CACNB4, CACUL1, CAMK2A, CASP2, CCL2, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNH, CDC25A, CDC34, CDC6, CDC7, CDC73, CDK10, CDK14, CDK15, CDK16, CDK17, CDK18, CDK2, CDK2AP2, CDK3, CDK4, CDK5, CDK6, CDK7, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CDKN3, CENPJ, CFH, CHEK2, CPSF3, CRADD, CRLF3, CTDSP1, CTDSP2, CTDSPL, CUL1, CUL2, CUL3, CUL4A, CUL4B, CUL5, CYP1A1, DACT1, DBF4, DCUN1D3, DDR2, DDX3X, DLG1, DPF1, DPF2, DPF3, E2F1, E2F3, E2F4, E2F6, E2F7, ECD, EGFR, EIF4E, EIF4EBP1, EIF4G1, ESRRB, EZH2, FAM107A, FBXO31, FBXO7, FGF10, FHL1, GFI1, GFI1B, GIGYF2, GJC2, GML, GPNMB, GPR132, GSPT1, GTSE1, HINFP, HYAL1, ID2, ID4, INHBA, INO80, IQGAP3, ITGB1, JADE1, KANK2, KCNA5, KHDRBS1, KIF14, KLF11, KLF4, KMT2E, LATS1, LATS2, LSM10, LSM11, MBLAC1, MDM2, MEPCE, MNAT1, MTBP, MUC1, MYC, MYO16, NACC2, NASP, NPAT, PBRM1, PHF10, PHF8, PIDD1, PIM2, PKD1, PKD2, PLCB1, PLK2, PLK3, PLK5, PLRG1, PML, POLE, POLR1B, PPP2CA, PPP3CA, PPP6C, PRAP1, PRKD2, PRKDC, PRMT2, PROC, PSME1, PSME2, PSME3, PTEN, PTPN6, RB1, RBBP8, RBL1, RBL2, RCC1, RDX, RFWD3, RGCC, RHOU, RPA2, RPS27L, RPS6, RPS6KB1, RPTOR, RRM1, RRM2, SASS6, SDE2, SEM1, SKP2, SLFN11, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SPAM1, SPDYA, STIL, STOX1, TAF10, TERT, TFDP1, TFDP3, TM4SF5, TMEM14B, TP53, TREX1, TRIAP1, TRIM71, UBE2E2, USP26, USP29, USP37, WAC, WEE1, ZNF324, ZNF655, ZPR1]	TRUE
GO:0000086	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	G2/M transition of mitotic cell cycle	[5, 6]	[None]	2	1.3605442	0.21081378137100917	0.23104543025498317	{}	{}	[CDC6, FOXM1]	[ABCB1, ABRAXAS1, APP, ARPP19, ARTN, ATM, AURKA, AURKB, AVEN, BABAM1, BABAM2, BACH1, BARD1, BLM, BRCA1, BRCC3, BRD4, BRIP1, BRSK1, BRSK2, CALM1, CCDC57, CCNA2, CCNB1, CCNB3, CCND1, CCNG1, CCNY, CDC14B, CDC25A, CDC25B, CDC25C, CDC6, CDC7, CDK1, CDK14, CDK2, CDK4, CDK5RAP3, CDKN1A, CDKN2A, CENPF, CFH, CHEK1, CHEK2, CHFR, CHMP4C, CIT, CLSPN, CTC1, DBF4B, DEPDC1B, DHDDS, DNM2, DONSON, DTL, ENSA, ESRRB, FBXL12, FBXL15, FBXL17, FBXL21P, FBXL22, FBXL3, FBXL6, FBXL7, FBXL8, FBXO5, FHL1, FOXM1, FOXN3, FOXO4, FZR1, GPR132, HSPA2, HUS1, HUS1B, INIP, INTS3, KCNH5, KDM8, KHDRBS1, KIF14, LATS1, LCMT1, MASTL, MECP2, MELK, MIIP, MRE11, MRNIP, MTA3, NABP1, NABP2, NAE1, NBN, NES, NOP53, ORC1, PABIR1, PBX1, PHOX2B, PINX1, PKIA, PKMYT1, PLCB1, PLK1, PLK3, PPM1D, PPME1, RAB11A, RAD17, RAD21, RAD50, RAD51B, RAD51C, RBBP8, RCC2, RFPL1, RINT1, RNASEH2B, RRM1, RRM2B, SIN3A, SKP2, SLC25A15, STOX1, SYF2, TAF2, TAOK1, TAOK2, TAOK3, TICRR, TNFSF13B, TOPBP1, TPD52L1, TRIM39, UIMC1, USH1C, USP47, VPS4A, VPS4B, WEE1, WNT10B, ZFYVE19, ZNF367, ZNF830]	TRUE
GO:0000212	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	meiotic spindle organization	[3, 4, 5, 8]	[None]	2	12.5	0.0038118847069741183	0.028639291680029228	{}	{}	[ASPM, CCNB2]	[ASPM, ATRX, AURKA, CCNB2, ESPL1, FBXO5, GOLGA2, MOCOS, MOS, MYH9, NDC80, PPP2R1A, SEPTIN1, TUBG1, TUBG2, WASHC5]	TRUE
GO:0000226	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00	microtubule cytoskeleton organization	[3, 6]	[None]	7	1.0463378	0.09476977136569698	0.13562290588925557	{}	{}	[ASPM, CCNB2, CDC20, CDH5, MCM2, NEK2, SLC6A4]	[AAAS, ABL1, ABRAXAS1, ABRAXAS2, AKAP9, ALMS1, ANAPC2, ANKFN1, ANKRD53, APC, APC2, ARHGEF10, ARHGEF2, ARHGEF7, ARL2, ARMC2, ASPM, ATAT1, ATF5, ATRX, ATXN3, ATXN7, AUNIP, AURKA, AURKB, AURKC, AXIN1, BBS1, BBS2, BBS4, BCAS3, BCCIP, BCL2L10, BICD1, BICD2, BIRC5, BMERB1, BORA, BRCA1, BRCA2, BRSK1, BRSK2, C10orf90, C2CD3, CAMSAP1, CAMSAP2, CAMSAP3, CAPN6, CAV3, CC2D2A, CCDC103, CCDC120, CCDC13, CCDC170, CCDC187, CCDC39, CCDC40, CCDC57, CCDC61, CCDC63, CCDC65, CCDC66, CCDC68, CCDC69, CCDC78, CCDC8, CCDC88A, CCDC88B, CCDC88C, CCNB1, CCNB2, CCNF, CCNL1, CCNL2, CCP110, CCSAP, CCSER2, CDC14A, CDC14B, CDC14C, CDC20, CDCA8, CDH5, CDK1, CDK2, CDK2AP2, CDK5, CDK5R1, CDK5RAP2, CDKN1B, CENATAC, CENPA, CENPE, CENPH, CENPJ, CEP120, CEP126, CEP131, CEP135, CEP152, CEP19, CEP192, CEP20, CEP250, CEP295, CEP350, CEP43, CEP44, CEP57, CEP63, CEP68, CEP70, CEP72, CEP76, CEP85, CEP97, CETN1, CETN2, CETN3, CFAP100, CFAP157, CFAP206, CFAP43, CFAP44, CFAP46, CFAP47, CFAP58, CFAP65, CFAP69, CFAP73, CFAP74, CFAP91, CFAP97D1, CFL1, CGN, CHD3, CHEK1, CHEK2, CHMP1A, CHMP1B, CHMP2A, CHMP2B, CHMP3, CHMP4B, CHMP4C, CHMP5, CHMP6, CHMP7, CHORDC1, CHP1, CIB1, CKAP2, CKAP5, CLASP1, CLASP2, CLIP1, CLIP2, CLIP3, CLIP4, CLTC, CLUAP1, CLXN, CNP, CNTLN, CNTN2, CNTROB, CPLANE2, CRIPT, CRMP1, CRNN, CROCC, CROCCP2, CROCCP3, CRTAC1, CRYAB, CSNK1D, CTNNB1, CUL7, CUL9, CYLD, DAG1, DAW1, DCLK1, DCLK2, DCTN1, DCTN2, DCTN6, DCX, DEUP1, DISC1, DIXDC1, DLG1, DLGAP5, DNAAF1, DNAAF10, DNAAF11, DNAAF2, DNAAF3, DNAAF4, DNAAF5, DNAAF6, DNAAF8, DNAH1, DNAH17, DNAH2, DNAH5, DNAH7, DNAH8, DNAI1, DNAI2, DNAI3, DNAI4, DNAJB13, DNAL1, DOCK7, DRC1, DRC7, DRG1, DST, DVL1, DYNC1H1, DYNC1LI1, DYNC1LI2, DYNLT1, DYRK1A, DZIP1, E2F4, EFHC1, EFHC2, EFNA5, EML1, EML2, EML3, EML4, EPHA3, ESPL1, EZR, FAM107A, FBXO5, FBXW11, FBXW5, FER, FES, FGF10, FGF13, FIGN, FIGNL1, FKBP4, FKBPL, FLNA, FMN2, FOXJ1, FSD1, FSIP2, FYN, GABARAP, GADD45A, GAPDH, GAS2L1, GAS2L2, GAS2L3, GAS8, GBA2, GCC2, GEN1, GIT1, GJA1, GNAI1, GOLGA2, GOLGA2P5, GOLGA6A, GOLGA6B, GOLGA8A, GOLGA8G, GOLGA8IP, GOLGA8N, GPSM1, GPSM2, GSK3B, HAUS1, HAUS2, HAUS3, HAUS4, HAUS5, HAUS6, HAUS7, HAUS8, HDAC3, HDAC6, HDGFL3, HEPACAM2, HNRNPU, HOATZ, HOOK1, HOOK2, HOOK3, HSPA1A, HTT, HYDIN, IFT172, INCENP, INO80, INPP5J, INSC, INTS13, IQCG, ITGB1, JHY, KASH5, KAT2A, KAT2B, KAT5, KATNA1, KATNAL1, KATNAL2, KATNB1, KATNBL1, KIAA0753, KIAA1614, KIF11, KIF14, KIF15, KIF18A, KIF18B, KIF19, KIF20A, KIF23, KIF24, KIF25, KIF2A, KIF2B, KIF2C, KIF3A, KIF3B, KIF4A, KIFBP, KIFC1, KIFC2, KIZ, KNSTRN, KPNB1, LIMK2, LLGL1, LLGL2, LMNA, LRGUK, LRRC49, LSM14A, LZTS2, MAD2L1, MAP10, MAP1A, MAP1B, MAP1S, MAP2, MAP4, MAP6, MAP6D1, MAP7, MAP7D1, MAP7D2, MAP7D3, MAP9, MAPK15, MAPRE1, MAPRE2, MAPRE3, MAPT, MARK1, MARK2, MARK3, MARK4, MBD1, MCM2, MCPH1, MDM1, MECP2, MEIG1, MET, METAP1, METAP2, MID1, MID1IP1, MISP, MLH1, MNS1, MOCOS, MOS, MTCL1, MYBL2, MYH9, MZT1, NAT10, NAV1, NAV3, NCKAP5, NCKAP5L, NCOR1, NDC80, NDE1, NDEL1, NDRG1, NEDD1, NEFH, NEFL, NEK2, NEK6, NEK7, NEURL1, NIN, NINL, NLRP5, NPM1, NPPC, NSFL1C, NTMT1, NUBP1, NUBP2, NUDC, NUF2, NUMA1, NUP62, NUSAP1, OBSL1, OCLN, ODAD1, ODAD2, ODAD3, ODAD4, ODF1, ODF2, OFD1, OOEP, PAFAH1B1, PAK1, PARD3, PARD3B, PARD6A, PARD6B, PARD6G, PARP3, PAX6, PCLAF, PCM1, PCNT, PDCD6IP, PDE4DIP, PDE4DIPP2, PDZD2, PEX14, PHLDB1, PHLDB2, PIBF1, PIERCE1, PIERCE2, PIN1, PKD1, PKD2, PKHD1, PKN1, PLA2G3, PLK1, PLK2, PLK3, PLK4, PMEPA1, POC1B, POLDIP2, PPP1R12A, PPP1R35, PPP2R1A, PPP2R3C, PRC1, PRKAA1, PRKAA2, PRKCZ, PRKD2, PROC, PRUNE1, PSRC1, PTPA, PTPRA, RAB11A, RAC1, RACGAP1, RAE1, RAN, RANBP1, RANBP9, RANGRF, RASSF1, RASSF7, RASSF8, RBM14, RCC1, RGS14, RHOA, RMDN1, RNASE1, RNASE7, RNF19A, RNF4, RNMT, ROCK1, ROCK2, RP1, RP1L1, RPS3, RSPH1, RSPH4A, RSPH6A, RSPH9, RTTN, SAC3D1, SAPCD2, SASS6, SBDS, SDCCAG8, SENP6, SEPTIN1, SETD2, SGO1, SIK3, SIRT1, SKA1, SKA2, SKA3, SLAIN1, SLAIN2, SLC16A1, SLC25A23, SLC39A12, SLC6A4, SLK, SMC1A, SMC3, SNCA, SON, SPAG1, SPAG16, SPAG17, SPAG5, SPAG6, SPAST, SPATA7, SPC25, SPDL1, SPEF1, SPEF2, SPICE1, SPIRE1, SPIRE2, SPRY1, SPRY2, SRGAP2, SRGAP2C, SRGAP3, SS18, SSNA1, SSX2IP, STAG1, STAG2, STARD9, STIL, STK19, STK36, STMN1, STMN2, STMN3, STMN4, SUN1, SUN2, SYNE2, TACC1, TACC2, TACC3, TAOK1, TASOR, TBC1D21, TBCD, TBCE, TBCEL, TEKT2, TLE6, TMEM67, TNKS, TOGARAM1, TOGARAM2, TPGS1, TPPP, TPPP2, TPPP3, TPR, TPX2, TRAF3IP1, TRDN, TRIM36, TRIM37, TRIM46, TRIM54, TRPV4, TTBK2, TTC12, TTC26, TTK, TTL, TTLL1, TTLL10, TTLL11, TTLL13, TTLL2, TTLL3, TTLL4, TTLL5, TTLL6, TTLL7, TTLL9, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA4B, TUBA8, TUBAL3, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBD1, TUBE1, TUBG1, TUBG2, TUBGCP2, TUBGCP3, TUBGCP4, TUBGCP5, TUBGCP6, TXNDC9, UBASH3A, UBE2B, UBXN2B, ULK4, USP33, UVRAG, UXT, VAMP4, VCP, VPS4B, VPS72, VTA1, WASHC5, WDR62, WDR73, WEE1, WRAP73, XPO1, XRCC2, XRCC3, ZBED3, ZMYND10, ZNF207, ZNF367, ZPR1, ZW10]	TRUE
