Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Metabolic Process (GO:0006259)	6/280	4.710156528687713E-5	0.02217472753881632	0	0	10.468646317186463	104.30126225619611	RMI2;RRAD;UBE2T;HMGB3;MCM10;CDC6
Regulation of Endothelial Cell Differentiation (GO:0045601)	2/7	1.1193646277579974E-4	0.02217472753881632	0	0	177.53333333333333	1615.1235507491651	ATOH8;DSG2
Regulation of Ossification (GO:0030278)	3/42	1.2993004417275188E-4	0.02217472753881632	0	0	34.81178396072013	311.5137491604365	GDF10;ZBTB16;SMAD6
Cell-Cell Junction Organization (GO:0045216)	3/65	4.7600880724376314E-4	0.05469138440288084	0	0	21.874056280027453	167.33815362542708	CDH5;CLDN18;DSG2
Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)	4/160	5.340955508093832E-4	0.05469138440288084	0	0	11.790969899665551	88.84420122445285	CDH5;ROBO4;CLDN18;DSG2
Regulation of Nuclear Division (GO:0051783)	2/19	8.952684162916507E-4	0.07639623819022086	0	0	52.18627450980392	366.26346945940026	CAV2;NEK2
DNA Replication Initiation (GO:0006270)	2/21	0.001096170449146495	0.07942092438476324	0	0	46.68859649122807	318.22632609095683	MCM10;CDC6
Endothelial Cell Development (GO:0001885)	2/24	0.0014342371563049838	0.07942092438476324	0	0	40.316287878787875	263.95566216367286	CDH5;ROBO4
Regulation of Chromosome Segregation (GO:0051983)	2/25	0.0015566262393710251	0.07942092438476324	0	0	38.56159420289855	249.30974793271812	RMI2;CDC6
Negative Regulation of Double-Strand Break Repair (GO:2000780)	2/26	0.0016838280780900488	0.07942092438476324	0	0	36.953125	236.00798613053155	RMI2;HMGA2
DNA Damage Response (GO:0006974)	5/377	0.0018418516250703354	0.07942092438476324	0	0	6.253584229390681	39.37871918091756	RMI2;RRAD;UBE2T;MCM10;SPIDR
Positive Regulation of Cellular Component Organization (GO:0051130)	3/104	0.0018614279152678885	0.07942092438476324	0	0	13.402991362966084	84.25671755624118	CDC20;CDH5;SPIDR
Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)	3/108	0.002073202480340163	0.08165228230262797	0	0	12.889969604863222	79.64274959195168	GDF10;CDH5;SMAD6
Negative Regulation of Ossification (GO:0030279)	2/30	0.0022403183197891433	0.08193164140943153	0	0	31.668154761904763	193.2117607518731	GDF10;SMAD6
Regulation of Mitotic Cell Cycle (GO:0007346)	3/117	0.002602957976289635	0.08884763225735287	0	0	11.867301231802912	70.62357702782042	CDC20;CAV2;NEK2
Positive Regulation of Angiogenesis (GO:0045766)	3/122	0.0029301964458644525	0.09160479159979076	0	0	11.365993205792956	66.29426730879098	CDH5;HMGA2;DSG2
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	2/35	0.003041565346086803	0.09160479159979076	0	0	26.863636363636363	155.6850609523064	CAV2;ATOH8
DNA Repair (GO:0006281)	4/271	0.003692142450587214	0.09577364797314629	0	0	6.852955544699561	38.38716202621922	RMI2;RRAD;UBE2T;HMGA2
Regulation of Cell Cycle Process (GO:0010564)	3/138	0.004143256595976735	0.09577364797314629	0	0	10.011347517730496	54.924987412023576	CAV2;HMGA2;NEK2
DNA Recombination (GO:0006310)	2/41	0.004154405262285315	0.09577364797314629	0	0	22.724358974358974	124.61097670253179	RMI2;HMGB3
Bicellular Tight Junction Assembly (GO:0070830)	2/44	0.004771389509979706	0.09577364797314629	0	0	21.098214285714285	112.77243892540973	CDH5;CLDN18
Cellular Response to Radiation (GO:0071478)	2/44	0.004771389509979706	0.09577364797314629	0	0	21.098214285714285	112.77243892540973	RRAD;SPIDR
DNA Integrity Checkpoint Signaling (GO:0031570)	2/45	0.0049858824559888765	0.09577364797314629	0	0	20.606589147286822	109.23851432511982	RRAD;CDC6
Skeletal System Development (GO:0001501)	3/151	0.0053239363654977966	0.09577364797314629	0	0	9.126365727429556	47.78147409329211	GDF10;HHIP;ZBTB16
Regulation of Endothelial Cell Apoptotic Process (GO:2000351)	2/47	0.00542799005958393	0.09577364797314629	0	0	19.68888888888889	102.70091382984998	CDH5;ECSCR
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	2/47	0.00542799005958393	0.09577364797314629	0	0	19.68888888888889	102.70091382984998	CDC20;CDC6
Negative Regulation of Cellular Process (GO:0048523)	5/489	0.005595520700852762	0.09577364797314629	0	0	4.780762167125803	24.79202326584436	HMGA2;IRF6;CDC6;SMAD6;FBP1
Tight Junction Assembly (GO:0120192)	2/49	0.005887454675339531	0.09577364797314629	0	0	18.849290780141843	96.78981732126019	CDH5;CLDN18
Insulin Receptor Signaling Pathway (GO:0008286)	2/50	0.006123644149901328	0.09577364797314629	0	0	18.455729166666668	94.04297497541654	CAV2;SORBS1
Apical Junction Assembly (GO:0043297)	2/50	0.006123644149901328	0.09577364797314629	0	0	18.455729166666668	94.04297497541654	CDH5;CLDN18
Cellular Response to Ionizing Radiation (GO:0071479)	2/50	0.006123644149901328	0.09577364797314629	0	0	18.455729166666668	94.04297497541654	RRAD;SPIDR
Cartilage Development (GO:0051216)	2/52	0.006608834614812149	0.09577364797314629	0	0	17.715833333333332	88.92193167185393	ZBTB16;HMGA2
Regulation of Stem Cell Population Maintenance (GO:2000036)	2/52	0.006608834614812149	0.09577364797314629	0	0	17.715833333333332	88.92193167185393	HMGA2;DSG2
DNA-templated DNA Replication (GO:0006261)	2/53	0.006857794685987634	0.09577364797314629	0	0	17.36764705882353	86.5320326180403	MCM10;CDC6
Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156)	2/53	0.006857794685987634	0.09577364797314629	0	0	17.36764705882353	86.5320326180403	ROBO4;DSG2
Sprouting Angiogenesis (GO:0002040)	2/54	0.00711097081886076	0.09577364797314629	0	0	17.032852564102566	84.24647313919957	CDH5;ADTRP
Regulation of Mitotic Nuclear Division (GO:0007088)	2/55	0.007368342726705636	0.09577364797314629	0	0	16.71069182389937	82.05889604369426	CAV2;NEK2
Regulation of SMAD Protein Signal Transduction (GO:0060390)	2/57	0.007895593058467664	0.09577364797314629	0	0	16.10151515151515	77.9546888364382	ATOH8;SMAD6
Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	4/338	0.008005537167034468	0.09577364797314629	0	0	5.460817495443894	26.362761755267886	CDH5;HMGA2;ADTRP;SORBS1
Epithelial Fluid Transport (GO:0042045)	1/4	0.00933146010613696	0.09577364797314629	0	0	144.9387755102041	677.4965626396239	CLDN18
Cellular Response to Magnesium Ion (GO:0071286)	1/4	0.00933146010613696	0.09577364797314629	0	0	144.9387755102041	677.4965626396239	FBP1
Fat Cell Differentiation (GO:0045444)	2/63	0.00957595393077855	0.09577364797314629	0	0	14.513661202185792	67.46675586383917	HMGA2;SMAD6
Regulation of Protein Serine/Threonine Kinase Activity (GO:0071900)	2/66	0.010470620898784425	0.09577364797314629	0	0	13.831380208333334	63.059779033740554	HMGA2;CDC6
Regulation of Angiogenesis (GO:0045765)	3/197	0.011019781018927768	0.09577364797314629	0	0	6.947247203334064	31.318630477782964	CDH5;ECSCR;HMGA2
Response to Ionizing Radiation (GO:0010212)	2/68	0.011086886207922067	0.09577364797314629	0	0	13.410984848484848	60.37615041337272	RRAD;SPIDR
Regulation of BMP Signaling Pathway (GO:0030510)	2/69	0.011400906826216858	0.09577364797314629	0	0	13.210199004975124	59.10325440821303	CDH5;SMAD6
Endothelial Cell Morphogenesis (GO:0001886)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	CDH5
Negative Regulation of Double-Strand Break Repair via Nonhomologous End Joining (GO:2001033)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	HMGA2
Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	FBP1
Fructose Metabolic Process (GO:0006000)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	FBP1
Galactolipid Biosynthetic Process (GO:0019375)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	UGT8
Galactosylceramide Biosynthetic Process (GO:0006682)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	UGT8
Bundle of His cell-Purkinje Myocyte Adhesion Involved in Cell Communication (GO:0086073)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	DSG2
Maintenance of DNA Repeat Elements (GO:0043570)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	RMI2
Plasma Membrane Raft Assembly (GO:0044854)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	CAV2
Resolution of DNA Recombination Intermediates (GO:0071139)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	RMI2
Positive Regulation of Cholesterol Storage (GO:0010886)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	MSR1
Regulation of Carbohydrate Biosynthetic Process (GO:0043255)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	FBP1
Positive Regulation of Endothelial Cell Development (GO:1901552)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	CDH5
Positive Regulation of Establishment of Endothelial Barrier (GO:1903142)	1/5	0.011650969844104965	0.09577364797314629	0	0	108.69897959183673	483.96762510089746	CDH5
Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	2/70	0.011718827026559919	0.09577364797314629	0	0	13.01531862745098	57.87337675206964	CAV2;ATOH8
Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569)	2/70	0.011718827026559919	0.09577364797314629	0	0	13.01531862745098	57.87337675206964	RMI2;SPIDR
Negative Regulation of Cell Differentiation (GO:0045596)	3/202	0.01178858565144122	0.09577364797314629	0	0	6.771089490003208	30.067859335650304	ZBTB16;DSG2;SMAD6
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	2/74	0.013029120338438994	0.09577364797314629	0	0	12.289930555555555	53.34528421507215	GDF10;CDH5
CENP-A Containing Chromatin Assembly (GO:0034080)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	OIP5
Tight Junction Organization (GO:0120193)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	CLDN18
Negative Regulation of Meiotic Nuclear Division (GO:0045835)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	RRAD
Glycosylceramide Biosynthetic Process (GO:0046476)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	UGT8
Positive Regulation of Synaptic Plasticity (GO:0031915)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	CDC20
Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	DSG2
Metaphase/Anaphase Transition of Cell Cycle (GO:0044784)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	CDC20
Cellular Response to Hydroxyurea (GO:0072711)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	SPIDR
Chromatin Remodeling at Centromere (GO:0031055)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	OIP5
Dorsal/Ventral Axis Specification (GO:0009950)	1/6	0.013965158540351713	0.09577364797314629	0	0	86.95510204081633	371.4017385432211	SMAD6
+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100)	2/79	0.014752441171799538	0.09577364797314629	0	0	11.48917748917749	48.44235566938746	CDH5;ATOH8
Positive Regulation of Developmental Process (GO:0051094)	3/222	0.015168418606456844	0.09577364797314629	0	0	6.146895948703002	25.746517933282583	CDC20;ZBTB16;DSG2
Regulation of Endothelial Cell Proliferation (GO:0001936)	2/83	0.016197997869618157	0.09577364797314629	0	0	10.919753086419753	45.0206965568208	CAV2;ATOH8
DNA Geometric Change (GO:0032392)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	HMGB3
Galactosylceramide Metabolic Process (GO:0006681)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	UGT8
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	HMGA2
Positive Regulation of Synapse Maturation (GO:0090129)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	CDC20
Interleukin-33-Mediated Signaling Pathway (GO:0038172)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	IL1RL1
Long-Chain Fatty Acid Catabolic Process (GO:0042758)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	ADTRP
Mammary Gland Epithelial Cell Differentiation (GO:0060644)	1/7	0.016274037839186968	0.09577364797314629	0	0	72.45918367346938	298.400266187989	IRF6
