GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0000018	regulation of DNA recombination	142	2	0.43	1.0000	1	RMI2, SPIDR
GO:0000070	mitotic sister chromatid segregation	190	2	0.57	1.0000	1	NEK2, CDC20
GO:0000075	cell cycle checkpoint signaling	201	2	0.61	1.0000	1	CDC6, CDC20
GO:0000082	G1/S transition of mitotic cell cycle	228	2	0.69	0.1747	1	CCNB2, CDC6
GO:0000122	negative regulation of transcription by RNA polymerase II	910	3	2.75	0.5240	1	FBP1, ZBTB16, HMGA2
GO:0000226	microtubule cytoskeleton organization	657	4	1.99	1.0000	1	CDH5, NEK2, CCNB2, CDC20
GO:0000278	mitotic cell cycle	879	5	2.66	1.0000	1	NEK2, CAV2, CCNB2, CDC6, CDC20
GO:0000280	nuclear division	436	4	1.32	1.0000	1	NEK2, CAV2, CCNB2, CDC20
GO:0000724	double-strand break repair via homologous recombination	184	2	0.56	1.0000	1	RMI2, SPIDR
GO:0000725	recombinational repair	190	2	0.57	1.0000	1	RMI2, SPIDR
GO:0000819	sister chromatid segregation	231	4	0.7	1.0000	1	RMI2, NEK2, CDC6, CDC20
GO:0000902	cell morphogenesis	973	4	2.94	1.0000	1	CDH5, POSTN, ROBO4, UGT8
GO:0001501	skeletal system development	528	5	1.6	0.2618	1	GDF10, CLDN18, HHIP, ZBTB16, HMGA2
GO:0001503	ossification	423	4	1.28	1.0000	1	GDF10, IGFBP2, SMAD6, ZBTB16
GO:0001525	angiogenesis	549	7	1.66	0.4081	1	CDH5, AQP1, ROBO4, ECSCR, ADAM12, HMGA2, ADTRP
GO:0001568	blood vessel development	730	9	2.21	0.1170	1	CDH5, WIF1, AQP1, SMAD6, ROBO4, ECSCR, ADAM12, HMGA2, ADTRP
GO:0001649	osteoblast differentiation	233	3	0.7	0.2588	1	GDF10, IGFBP2, SMAD6
GO:0001666	response to hypoxia	303	2	0.92	0.3744	1	POSTN, AQP1
GO:0001701	in utero embryonic development	396	2	1.2	0.5723	1	NEK2, CCNB2
GO:0001704	formation of primary germ layer	125	2	0.38	0.0119	1	HMGA2, ATOH8
GO:0001775	cell activation	1106	3	3.34	1.0000	1	IGFBP2, ZBTB16, IL1RL1
GO:0001816	cytokine production	781	3	2.36	1.0000	1	POSTN, TREM1, IL1RL1
GO:0001817	regulation of cytokine production	774	2	2.34	1.0000	1	POSTN, IL1RL1
GO:0001819	positive regulation of cytokine production	487	2	1.47	1.0000	1	POSTN, IL1RL1
GO:0001822	kidney development	319	3	0.96	1.0000	1	AQP1, SMAD6, ZBTB16
GO:0001823	mesonephros development	105	2	0.32	0.0119	1	SMAD6, ZBTB16
GO:0001885	endothelial cell development	66	2	0.2	1.0000	1	CDH5, ROBO4
GO:0001894	tissue homeostasis	265	2	0.8	1.0000	1	CDH5, CLDN18
GO:0001932	regulation of protein phosphorylation	674	4	2.04	0.2153	1	CDH5, HMGA2, ADTRP, CDC6
GO:0001934	positive regulation of protein phosphorylation	428	2	1.29	0.4654	1	HMGA2, ADTRP
GO:0001935	endothelial cell proliferation	161	2	0.49	1.0000	1	ATOH8, CAV2
GO:0001936	regulation of endothelial cell proliferation	138	2	0.42	1.0000	1	ATOH8, CAV2
