GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0030185	nitric oxide transport	4	3	0.05	5.6e-06	0.0857192	HBA1, HBB, AQP1
GO:0035633	maintenance of blood-brain barrier	38	6	0.43	1.6e-05	0.122456	CDH5, GJB6, ANGPT1, IL6, JAM2, SLC1A1
GO:0043627	response to estrogen	69	7	0.78	2.5e-05	0.127558333333333	CD24, SLC34A2, IGFBP2, SMAD6, CLDN18, TEK, CAV1
GO:0007094	mitotic spindle assembly checkpoint signaling	49	5	0.55	0.00016	0.61228	MAD2L1, BUB1B, NUF2, TRIP13, CDC20
GO:0051384	response to glucocorticoid	134	8	1.51	0.00033	0.969443333333333	CDO1, FBXO32, FOSB, ANXA3, IGFBP2, IL6, AQP1, SCGB1A1
GO:0071288	cellular response to mercury ion	3	2	0.03	0.00038	0.969443333333333	AQP1, SLC1A1
GO:0000018	regulation of DNA recombination	142	2	1.6	1.00000	1	RMI2, SPIDR
GO:0000041	transition metal ion transport	97	4	1.09	1.00000	1	CP, SCARA5, SLC39A8, SLC1A1
GO:0000070	mitotic sister chromatid segregation	190	12	2.14	1.00000	1	UBE2C, TPX2, KIF4A, UHRF1, MAD2L1, NEK2, NUSAP1, NCAPG, BUB1B, NUF2, TRIP13, CDC20
GO:0000075	cell cycle checkpoint signaling	201	7	2.27	1.00000	1	MAD2L1, BUB1B, CDC45, NUF2, TRIP13, CDC6, CDC20
GO:0000076	DNA replication checkpoint signaling	20	2	0.23	0.09668	1	CDC45, CDC6
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	65	3	0.73	0.10131	1	CDKN3, RGCC, CDC6
GO:0000082	G1/S transition of mitotic cell cycle	228	4	2.57	0.16262	1	CDKN3, RGCC, CCNB2, CDC6
GO:0000086	G2/M transition of mitotic cell cycle	137	2	1.55	0.30506	1	FOXM1, CDC6
GO:0000096	sulfur amino acid metabolic process	33	2	0.37	1.00000	1	CDO1, SLC7A11
GO:0000101	sulfur amino acid transport	12	3	0.14	1.00000	1	SLC7A11, SLC1A1, SLC7A5
