geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0007155	cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007155	1449	26	8.47853463079565	3.066567647853092	1.3553785483267418e-7	0.0017195687642621374	395;1003;1829;3373;3485;3569;4091;4239;4973;6532;6657;7356;7704;8038;9635;10580;10631;10894;23657;26585;51208;54538;58494;64116;84830;100133941
GO:0009719	response to endogenous stimulus	http://amigo.geneontology.org/amigo/term/GO:0009719	1660	26	9.71315906633594	2.6767810371922476	1.8821263127006374e-6	0.011939268264616493	306;358;858;990;1003;1829;2203;2354;2662;3373;3485;3569;4091;4093;5319;6532;6657;7356;10580;10631;23514;26585;51208;64399;84830;100133941
GO:0008283	cell population proliferation	http://amigo.geneontology.org/amigo/term/GO:0008283	1918	26	11.222794632067671	2.3167135149839053	2.605656781627652e-5	0.05546832022329862	358;858;990;1003;1033;2305;3373;3485;3569;3664;4091;5319;6532;6657;7356;7704;8091;10804;23657;26585;51208;55388;64399;84913;259266;100133941
GO:0009725	response to hormone	http://amigo.geneontology.org/amigo/term/GO:0009725	859	16	5.026267251796731	3.1832768132813687	3.464183967058607e-5	0.05546832022329862	306;358;858;990;1829;2203;2354;3485;3569;4091;5319;7356;10580;51208;84830;100133941
GO:0042127	regulation of cell population proliferation	http://amigo.geneontology.org/amigo/term/GO:0042127	1606	23	9.397188831647904	2.4475404732254047	3.73263648009756e-5	0.05546832022329862	358;858;990;1003;1033;2305;3373;3485;3569;3664;4091;5319;6532;6657;7356;7704;8091;10804;23657;26585;84913;259266;100133941
GO:0045765	regulation of angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0045765	283	9	1.6559180817910069	5.435051467199262	4.110564486881947e-5	0.05546832022329862	306;358;1003;3373;3569;8038;8091;26585;641700
GO:0008285	negative regulation of cell population proliferation	http://amigo.geneontology.org/amigo/term/GO:0008285	684	14	4.0022896393817975	3.4979977116704806	4.1314756907264944e-5	0.05546832022329862	858;990;1003;1033;3569;3664;4091;6532;6657;7356;7704;10804;26585;84913
GO:0045766	positive regulation of angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0045766	161	7	0.9420594034217389	7.430529300567107	4.3754067853524165e-5	0.05546832022329862	306;358;1003;3373;8038;8091;26585
GO:0014070	response to organic cyclic compound	http://amigo.geneontology.org/amigo/term/GO:0014070	877	16	5.13159066335941	3.1179415993257646	4.4468215705379626e-5	0.05546832022329862	306;358;858;1829;2203;2354;2662;3485;3569;4481;6532;7356;10631;23514;23657;84830
GO:1901342	regulation of vasculature development	http://amigo.geneontology.org/amigo/term/GO:1901342	289	9	1.6910258856452332	5.32221302843388	4.837795002384933e-5	0.05546832022329862	306;358;1003;3373;3569;8038;8091;26585;641700
