Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2548	12	0.0165049989106214	1	GO:0002376
regulation of immune system process	BP	1567	8	0.033391706919659	1	GO:0002682
immune response	BP	1786	5	0.437157213491848	1	GO:0006955
cell communication	BP	6029	25	0.00154426982463978	0.481964437242152	GO:0007154
signal transduction	BP	5525	23	0.0026614325269746	0.567064263127213	GO:0007165
biological_process	BP	16078	48	0.00041633599158422	0.275037661559875	GO:0008150
cellular process	BP	15660	47	0.000757228691296913	0.324888104833587	GO:0009987
signaling	BP	6004	23	0.00817532626518275	0.914934619748407	GO:0023052
regulation of response to stimulus	BP	3956	19	0.00147141217090132	0.475788680527952	GO:0048583
regulation of immune response	BP	959	2	0.681724686739328	1	GO:0050776
regulation of biological process	BP	10864	40	5.43023833738476e-05	0.0925605010139299	GO:0050789
regulation of cellular process	BP	10495	38	0.000232913103800026	0.206444858684191	GO:0050794
response to stimulus	BP	8178	35	1.29445994884256e-05	0.0573678760128044	GO:0050896
cellular response to stimulus	BP	6844	29	0.000261544934691376	0.222906700301008	GO:0051716
biological regulation	BP	11242	40	0.000147908052008868	0.172499711813922	GO:0065007
metabolic process	BP	10405	30	0.111176297870265	1	GO:0008152
response to xenobiotic stimulus	BP	423	2	0.273247530616213	1	GO:0009410
response to chemical	BP	3506	17	0.00265042812891501	0.567064263127213	GO:0042221
cellular response to chemical stimulus	BP	2141	12	0.00428141820195177	0.747921440966417	GO:0070887
response to hypoxia	BP	302	2	0.165914652999912	1	GO:0001666
in utero embryonic development	BP	396	2	0.248933481787035	1	GO:0001701
cell activation	BP	1112	4	0.282220300839738	1	GO:0001775
adaptive immune response	BP	488	3	0.114219566242919	1	GO:0002250
immune effector process	BP	660	2	0.477833641137386	1	GO:0002252
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	323	2	0.184067053975453	1	GO:0002460
leukocyte differentiation	BP	625	4	0.0641836771512862	1	GO:0002521
negative regulation of immune system process	BP	525	5	0.00861676843318986	0.933897790705818	GO:0002683
positive regulation of immune system process	BP	1083	5	0.120122558329421	1	GO:0002684
regulation of leukocyte migration	BP	230	2	0.106956530950433	1	GO:0002685
regulation of leukocyte activation	BP	571	4	0.0490592377046051	1	GO:0002694
positive regulation of leukocyte activation	BP	361	3	0.05685615757661	1	GO:0002696
regulation of adaptive immune response	BP	212	2	0.0933132660413258	1	GO:0002819
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	197	2	0.082377959979177	1	GO:0002822
system process	BP	1937	4	0.702255244983752	1	GO:0003008
circulatory system process	BP	601	3	0.177813927179368	1	GO:0003013
nucleobase-containing compound metabolic process	BP	5425	13	0.57128879663098	1	GO:0006139
phosphorus metabolic process	BP	2048	7	0.223431946982642	1	GO:0006793
