Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007179~transforming growth factor beta receptor signaling pathway	4	8.0	0.0027992390782232146	1003, 2662, 858, 4091	48	97	16177	13.897766323024054	0.7321925988100868	0.9130289036330718	0.9130289036330718
GOTERM_BP_DIRECT	GO:0051301~cell division	6	12.0	0.0044964571631855455	11339, 990, 991, 9133, 4751, 8091	48	375	16177	5.392333333333333	0.8797401447855085	0.9130289036330718	0.9130289036330718
GOTERM_BP_DIRECT	GO:0009653~anatomical structure morphogenesis	4	8.0	0.005827844065743011	84913, 1368, 4091, 10894	48	126	16177	10.699074074074073	0.9358864367382894	0.9130289036330718	0.9130289036330718
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	4	8.0	0.008574840756079177	1003, 358, 8038, 8091	48	145	16177	9.297126436781609	0.98253495155414	1.0	1.0
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	3	6.0	0.012315272736364033	8796, 3485, 10631	48	58	16177	17.432112068965516	0.9970445815640766	1.0	1.0
GOTERM_BP_DIRECT	GO:0045444~fat cell differentiation	3	6.0	0.024763388849304166	2662, 8091, 4091	48	84	16177	12.036458333333332	0.9999923844997541	1.0	1.0
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell population proliferation	5	10.0	0.026930504175213883	990, 1003, 3664, 4091, 7704	48	393	16177	4.2877968617472435	0.9999973232154571	1.0	1.0
GOTERM_BP_DIRECT	GO:0045638~negative regulation of myeloid cell differentiation	2	4.0	0.05105094657412074	3149, 7704	48	18	16177	37.44675925925926	0.9999999999798552	1.0	1.0
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	5	10.0	0.0590486687693413	8038, 1829, 10631, 10894, 51208	48	507	16177	3.3236768573307036	0.9999999999996229	1.0	1.0
GOTERM_BP_DIRECT	GO:0007088~regulation of mitotic nuclear division	2	4.0	0.059307723076742924	4751, 858	48	21	16177	32.09722222222222	0.9999999999996686	1.0	1.0
GOTERM_BP_DIRECT	GO:0031589~cell-substrate adhesion	2	4.0	0.0620443247730055	10580, 4091	48	22	16177	30.638257575757574	0.9999999999999157	1.0	1.0
GOTERM_BP_DIRECT	GO:0071711~basement membrane organization	2	4.0	0.06477313422855303	4320, 858	48	23	16177	29.306159420289852	0.9999999999999786	1.0	1.0
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	3	6.0	0.07536735625985334	1003, 54538, 1829	48	156	16177	6.481169871794872	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	2	4.0	0.075610882869848	55388, 990	48	27	16177	24.964506172839503	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0030279~negative regulation of ossification	2	4.0	0.075610882869848	2662, 4091	48	27	16177	24.964506172839503	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0001937~negative regulation of endothelial cell proliferation	2	4.0	0.09428191627545718	84913, 858	48	34	16177	19.82475490196078	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	5	10.0	0.1002407583609868	991, 84913, 858, 4091, 641700	48	610	16177	2.7624658469945356	1.0	1.0	1.0
