Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2548	23	0.00213097997719775	0.298863198194462	GO:0002376
regulation of immune system process	BP	1567	17	0.0013365673681502	0.235414857675806	GO:0002682
immune response-regulating signaling pathway	BP	559	2	0.757595483074936	1	GO:0002764
immune response	BP	1786	11	0.245791136941687	1	GO:0006955
cell communication	BP	6029	47	0.000122354586994284	0.045769722512966	GO:0007154
signal transduction	BP	5525	42	0.000673556993881602	0.150761105327499	GO:0007165
biological_process	BP	16078	93	4.21340926162239e-05	0.021643437240711	GO:0008150
cellular process	BP	15660	90	0.000263384159749847	0.0780741505061076	GO:0009987
signaling	BP	6004	45	0.000509991499116753	0.128419336692365	GO:0023052
regulation of response to stimulus	BP	3956	34	0.000316177359072965	0.0862622087711457	GO:0048583
regulation of immune response	BP	959	7	0.183019570021575	1	GO:0050776
regulation of biological process	BP	10864	74	9.04852911839006e-06	0.0100422995961202	GO:0050789
regulation of cellular process	BP	10495	72	1.25212337467214e-05	0.0126117281178908	GO:0050794
response to stimulus	BP	8178	68	8.18276867329856e-09	9.06609855158114e-05	GO:0050896
cellular response to stimulus	BP	6844	58	2.79095341102018e-07	0.00123689473269592	GO:0051716
biological regulation	BP	11242	74	4.29762732339584e-05	0.021643437240711	GO:0065007
metabolic process	BP	10405	60	0.0335743873462882	0.906181302322047	GO:0008152
response to xenobiotic stimulus	BP	423	6	0.0169440303216603	0.708420316788058	GO:0009410
response to chemical	BP	3506	34	2.69827595007958e-05	0.0193065015520369	GO:0042221
cellular response to chemical stimulus	BP	2141	23	0.000187677938506305	0.0602718179617567	GO:0070887
cellular response to xenobiotic stimulus	BP	187	2	0.229318541336041	1	GO:0071466
response to hypoxia	BP	302	4	0.0592086310275097	1	GO:0001666
in utero embryonic development	BP	396	2	0.57440420680218	1	GO:0001701
cell activation	BP	1112	11	0.0186699870397013	0.724657822494895	GO:0001775
leukocyte homeostasis	BP	113	3	0.0175773500076435	0.723971187396601	GO:0001776
adaptive immune response	BP	488	5	0.0884304731672247	1	GO:0002250
immune effector process	BP	660	6	0.101130444091594	1	GO:0002252
activation of immune response	BP	562	2	0.760226914586196	1	GO:0002253
cell activation involved in immune response	BP	315	3	0.196344180278206	1	GO:0002263
lymphocyte activation involved in immune response	BP	225	2	0.297422991031432	1	GO:0002285
leukocyte activation involved in immune response	BP	311	3	0.191427219891725	1	GO:0002366
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	323	4	0.0719804062386579	1	GO:0002460
leukocyte differentiation	BP	625	6	0.0830273946240961	1	GO:0002521
negative regulation of immune system process	BP	525	8	0.00398994885407661	0.393121085497446	GO:0002683
positive regulation of immune system process	BP	1083	10	0.0368789720271307	0.955012242801842	GO:0002684
regulation of leukocyte migration	BP	230	6	0.000892283974872304	0.181395601827481	GO:0002685
negative regulation of leukocyte migration	BP	52	3	0.00205051961776989	0.296190471883308	GO:0002686
regulation of leukocyte activation	BP	571	8	0.00654886188592946	0.459668889650747	GO:0002694
positive regulation of leukocyte activation	BP	361	5	0.0310813612070576	0.895097565725057	GO:0002696
immune response-regulating cell surface receptor signaling pathway	BP	345	2	0.49990620879517	1	GO:0002768
regulation of adaptive immune response	BP	212	4	0.0197092828938368	0.737733107507651	GO:0002819
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	197	4	0.0154841113250306	0.664946555913473	GO:0002822
system process	BP	1937	9	0.602345670589354	1	GO:0003008
circulatory system process	BP	601	5	0.166843832709365	1	GO:0003013
nucleobase-containing compound metabolic process	BP	5425	29	0.301415882804816	1	GO:0006139
nucleoside phosphate metabolic process	BP	640	2	0.820511122768691	1	GO:0006753
phosphorus metabolic process	BP	2048	14	0.117542276228174	1	GO:0006793
phosphate-containing compound metabolic process	BP	2045	14	0.116531240315755	1	GO:0006796
transport	BP	4257	25	0.167299874170065	1	GO:0006810
apoptotic process	BP	1866	17	0.00800357732471723	0.526983509428439	GO:0006915
response to stress	BP	3868	36	3.44669011430161e-05	0.019583386216105	GO:0006950
defense response	BP	1784	13	0.0893711620136243	1	GO:0006952
inflammatory response	BP	849	7	0.117716348254709	1	GO:0006954
cell adhesion	BP	1476	27	1.07093336640931e-09	2.3730812466264e-05	GO:0007155
leukocyte cell-cell adhesion	BP	414	10	3.27078092489638e-05	0.019583386216105	GO:0007159
cell surface receptor signaling pathway	BP	2712	22	0.00966106545764041	0.536618742834633	GO:0007166
G protein-coupled receptor signaling pathway	BP	936	2	0.944824770468612	1	GO:0007186
multicellular organism development	BP	4597	38	0.00026218983400561	0.0780741505061076	GO:0007275
behavior	BP	658	3	0.621921204462488	1	GO:0007610
blood circulation	BP	518	5	0.106921163142996	1	GO:0008015
cell death	BP	1925	17	0.0107537150655123	0.575583507576538	GO:0008219
