Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitotic Sister Chromatid Segregation (GO:0000070)	21/112	1.5014932497373486E-13	3.623103211616222E-10	0	0	10.005460093142766	295.4326819296339	SPAG5;UHRF1;CDCA5;KIF14;CDCA8;NCAPG;KIF23;KIF11;NCAPH;NDC80;ZWINT;AURKB;TPX2;CENPE;CCNB1;PRC1;NUSAP1;BIRC5;KIF2C;CEP55;DLGAP5
Spindle Assembly Checkpoint Signaling (GO:0071173)	11/26	5.8341365407174576E-12	3.5194428681878063E-9	0	0	31.25889570552147	808.5830716016483	CDC20;CENPF;NUF2;BUB1B;BIRC5;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	11/26	5.8341365407174576E-12	3.5194428681878063E-9	0	0	31.25889570552147	808.5830716016483	CDC20;CENPF;NUF2;BUB1B;BIRC5;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
Mitotic Spindle Checkpoint Signaling (GO:0071174)	11/26	5.8341365407174576E-12	3.5194428681878063E-9	0	0	31.25889570552147	808.5830716016483	CDC20;CENPF;NUF2;BUB1B;BIRC5;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
Supramolecular Fiber Organization (GO:0097435)	32/324	7.64398977490527E-12	3.6889894653692837E-9	0	0	4.816063692776021	123.27727082391185	PLA2G1B;COL11A1;COL12A1;TMPRSS4;KIF14;PLOD2;ARHGAP6;FBLN5;PDZD2;CAPN3;PGM5;CD36;CGNL1;KRT6B;KRT6A;KRT13;EMP2;KRT5;COL1A1;GREM1;MFAP4;COL3A1;TPPP3;COL1A2;COL5A1;KRT16;KRT15;RHOJ;KRT14;COL5A2;KIF2C;DSG3
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	11/28	1.5543158635039674E-11	6.250940297725123E-9	0	0	27.57873210633947	686.3629521303659	CDC20;CENPF;NUF2;BUB1B;BIRC5;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
Extracellular Matrix Organization (GO:0030198)	23/174	2.0736703589956613E-11	7.148237966080759E-9	0	0	6.612575839615699	162.66351924805636	POSTN;MMP1;COL11A1;COL12A1;NCAPG;PLOD2;NDNF;MMP10;COL1A1;GREM1;MMP12;MMP11;COL3A1;COL1A2;COL5A1;SPOCK2;COL4A3;COL5A2;MMP28;COL10A1;SLC39A8;COL6A6;ADAMTS8
Mitotic Spindle Organization (GO:0007052)	16/84	9.466067547996059E-11	2.8552026241643112E-8	0	0	10.107438016528926	233.2869715969035	UHRF1;CDCA8;KIF23;TTK;KIF11;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;PRC1;KIF4A;NUF2;BIRC5;DLGAP5
Skin Development (GO:0043588)	14/65	2.5330158814585423E-10	6.791297024399403E-8	0	0	11.753086419753087	259.70137228692715	SPRR3;GATA6;COL1A1;SCEL;COL3A1;COL1A2;COL5A1;KRT16;COL5A2;SPRR2B;SPRR1A;IVL;SPRR1B;S100A7
External Encapsulating Structure Organization (GO:0045229)	17/106	4.161840491661806E-10	1.0042521106379938E-7	0	0	8.213878614464837	177.41890352130534	POSTN;MMP1;COL11A1;NDNF;MMP10;MMP12;MMP11;COL3A1;COL1A2;SPOCK2;COL4A3;COL5A2;MMP28;COL10A1;SLC39A8;COL6A6;ADAMTS8
Extracellular Structure Organization (GO:0043062)	17/107	4.842510442923493E-10	1.062270699888581E-7	0	0	8.122222222222222	174.20881452623541	POSTN;MMP1;COL11A1;NDNF;MMP10;MMP12;MMP11;COL3A1;COL1A2;SPOCK2;COL4A3;COL5A2;MMP28;COL10A1;SLC39A8;COL6A6;ADAMTS8
Epidermis Development (GO:0008544)	14/78	3.2189874966234267E-9	6.472847357793608E-7	0	0	9.35988940329218	183.0251397186847	SPRR3;CRABP2;BNC1;GATA6;KRT5;PTHLH;SCEL;KRT15;KRT14;SPRR2B;SPRR1A;SPRR1B;S100A7;ZNF750
Renal System Development (GO:0072001)	12/55	4.176679854983312E-9	7.752560376980563E-7	0	0	11.903926801372474	229.6713781900516	MMP12;TFAP2A;HELLS;RBP4;CENPF;SOX17;FOXF1;AGTR1;ITGA8;SIX1;TCF21;SULF1
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	12/56	5.204070632430918E-9	8.969587454325575E-7	0	0	11.632824143070044	221.88244851352684	CENPE;CCNB1;KIF4A;NUF2;NUSAP1;CDK1;BIRC5;TTK;KIF11;DLGAP5;AURKB;NDC80
Mitotic Cytokinesis (GO:0000281)	12/60	1.1979962517910712E-8	1.9271766370479033E-6	0	0	10.661372950819672	194.46376644068198	ANLN;KIF4A;NUSAP1;BIRC5;CDCA8;KIF23;KIF20A;ECT2;CENPA;CEP55;AURKB;SPTBN1
Regulation of Cell Population Proliferation (GO:0042127)	42/712	4.436734052167003E-8	6.6911495424243615E-6	0	0	2.763273153881249	46.78432069519894	CCL14;VIPR1;BNC1;UHRF1;PLA2G1B;CDCA7;KIF14;SIX1;TTK;ADARB1;FOXM1;PTHLH;GRK5;NAMPT;CXCR2;PRAME;ADAMTS8;KRT6A;SERPINB3;TFAP2A;FGFBP1;JUP;IGFBP3;GKN2;EMP2;LIFR;CDC6;SMAD6;GREM1;IL6;RGCC;NR4A3;PRC1;ID2;DLC1;COL4A3;AGTR1;SCGB3A1;BIRC5;IRF6;EZH2;CDKN3
Mitotic Metaphase Chromosome Alignment (GO:0007080)	11/55	4.8937645881689466E-8	6.94626703014804E-6	0	0	10.64161554192229	179.12732286984357	CENPE;CCNB1;CDCA5;NUF2;KIF14;CDCA8;KIF2C;TTK;CEP55;AURKB;NDC80
Positive Regulation of Cell Cycle Process (GO:0090068)	15/112	5.5163772647054964E-8	7.395010188741312E-6	0	0	6.619832075672229	110.63698466087077	SPAG5;KIF14;CDCA8;NCAPG;KIF23;CDC6;NCAPH;NDC80;AURKB;AURKA;RGCC;NUSAP1;BIRC5;ECT2;MAD2L1
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	12/70	7.366771956195837E-8	9.355800384368713E-6	0	0	8.818965517241379	144.8400539442	ANLN;KIF4A;NUSAP1;BIRC5;CDCA8;KIF23;KIF20A;ECT2;CENPA;CEP55;AURKB;SPTBN1
Regulation of Angiogenesis (GO:0045765)	19/197	2.09509546687986E-7	2.527732680790551E-5	0	0	4.5894438085449325	70.57874568298917	JUP;ANXA3;TIE1;GATA6;ECSCR;HMGA2;EMP2;SULF1;CXCL13;TSPAN12;THBS2;CDH5;IL6;RGCC;ALOX5;RHOJ;COL4A3;CD36;TEK
Kidney Development (GO:0001822)	11/67	4.080540962027923E-7	4.6887358768444654E-5	0	0	8.356449021326322	122.93895892781853	MMP12;TFAP2A;HELLS;CENPF;SOX17;ZBTB16;AGTR1;ITGA8;SIX1;TCF21;SULF1
Metaphase Chromosome Alignment (GO:0051310)	10/54	4.292357839587353E-7	4.7079361213292195E-5	0	0	9.654452690166975	141.5464357966289	CENPE;CCNB1;CENPF;CDCA5;KIF14;CDCA8;KIF2C;FAM83D;CEP55;NDC80
Collagen Fibril Organization (GO:0030199)	9/43	5.458186473209927E-7	5.7263495477632844E-5	0	0	11.227087576374746	161.90559489015016	COL1A1;GREM1;COL3A1;COL1A2;COL5A1;COL11A1;COL12A1;COL5A2;PLOD2
Positive Regulation of Mitotic Sister Chromatid Separation (GO:1901970)	6/15	6.67972437728371E-7	6.486723906795123E-5	0	0	28.13765182186235	400.08980376424904	CDC20;UBE2C;CDCA8;BIRC5;AURKB;DLGAP5
Mitotic Spindle Assembly (GO:0090307)	9/44	6.720600815162788E-7	6.486723906795123E-5	0	0	10.905789933081175	155.00309906272602	TPX2;UHRF1;PRC1;KIF4A;CDCA8;BIRC5;KIF23;KIF11;AURKB
Mitotic Spindle Elongation (GO:0000022)	5/9	8.033541677615983E-7	7.17960595114347E-5	0	0	52.66414141414141	739.1133214154174	PRC1;KIF4A;BIRC5;CDCA8;KIF23
Mitotic Spindle Midzone Assembly (GO:0051256)	5/9	8.033541677615983E-7	7.17960595114347E-5	0	0	52.66414141414141	739.1133214154174	PRC1;KIF4A;BIRC5;CDCA8;KIF23
Regulation of Cell Cycle Process (GO:0010564)	15/138	8.773924426965192E-7	7.561242729381075E-5	0	0	5.213980387226552	72.71579443464654	SPAG5;CAV2;HMGA2;KIF11;MKI67;AURKB;AURKA;PDZD2;PRC1;CHEK1;NEK2;KIF2C;KIF20A;ECT2;BUB1
Regulation of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	6/18	2.333670684000768E-6	1.941774951894432E-4	0	0	21.100202429149796	273.6288626404953	CCNB1;CDCA8;BIRC5;AURKB;NDC80;MAD2L1
Keratinocyte Differentiation (GO:0030216)	8/40	3.3928985155789076E-6	2.7128019597156796E-4	0	0	10.582825203252032	133.27825901347845	SPRR3;SCEL;KRT16;SPRR2B;SPRR1A;IVL;SPRR1B;S100A7
Epidermal Cell Differentiation (GO:0009913)	9/53	3.485157925867636E-6	2.7128019597156796E-4	0	0	8.671310868357711	108.97233939336537	SPRR3;SCEL;KRT16;GATA6;SPRR2B;SPRR1A;IVL;SPRR1B;S100A7
