GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000018	0.0685716689077354	4.87112462006079	0.429108849830404	2	142	regulation of DNA recombination	0.26319419977822	RMI2, SPIDR
GO:0000070	0.11243320081192	3.61656858306926	0.574159728646315	2	190	mitotic sister chromatid segregation	0.316510720929704	NEK2, CDC20
GO:0000075	0.123321095655611	3.41430557040522	0.607400555041628	2	201	cell cycle checkpoint signaling	0.327958721634353	CDC6, CDC20
GO:0000082	0.151043505662459	3.00131801920542	0.688991674375578	2	228	G1/S transition of mitotic cell cycle	0.345970387853205	CCNB2, CDC6
GO:0000122	0.524026493069662	1.09719093044437	2.74992291088498	3	910	negative regulation of transcription by RNA polymerase II	0.621011300498061	FBP1, ZBTB16, HMGA2
GO:0000226	0.136140508433037	2.11168963757019	1.98538390379278	4	657	microtubule cytoskeleton organization	0.33530998634416	CDH5, NEK2, CCNB2, CDC20
GO:0000278	0.12479691002681	1.98824630746828	2.65624421831637	5	879	mitotic cell cycle	0.328633755000049	NEK2, CAV2, CCNB2, CDC6, CDC20
GO:0000280	0.0422683512148782	3.23744855967078	1.31754548257786	4	436	nuclear division	0.221908843878111	NEK2, CAV2, CCNB2, CDC20
GO:0000724	0.106609181164069	3.73719897124152	0.556028368794326	2	184	double-strand break repair via homologous recombination	0.313143044994782	RMI2, SPIDR
GO:0000725	0.11243320081192	3.61656858306926	0.574159728646315	2	190	recombinational repair	0.316510720929704	RMI2, SPIDR
GO:0000819	0.0051482503342186	6.24140969162996	0.698057354301573	4	231	sister chromatid segregation	0.143190308556698	RMI2, NEK2, CDC6, CDC20
GO:0000902	0.33886095766962	1.39406031418415	2.94030218933087	4	973	cell morphogenesis	0.490569706547065	CDH5, POSTN, ROBO4, UGT8
GO:0001501	0.0210977593284366	3.39887884581957	1.59555966697502	5	528	skeletal system development	0.188027347770994	GDF10, CLDN18, HHIP, ZBTB16, HMGA2
GO:0001503	0.0385034195394564	3.3406523468576	1.27826086956522	4	423	ossification	0.214974331603633	GDF10, IGFBP2, SMAD6, ZBTB16
GO:0001525	0.00122736785076503	4.80442804428044	1.65901942645698	7	549	angiogenesis	0.106781003016558	CDH5, AQP1, ROBO4, ECSCR, ADAM12, HMGA2, ADTRP
GO:0001568	0.000294177358426288	4.81986823855756	2.20598211532532	9	730	blood vessel development	0.0863212969620563	CDH5, WIF1, AQP1, SMAD6, ROBO4, ECSCR, ADAM12, HMGA2, ADTRP
GO:0001649	0.033252581815452	4.5187145557656	0.704101140918902	3	233	osteoblast differentiation	0.20805639375627	GDF10, IGFBP2, SMAD6
GO:0001666	0.232880002532266	2.24287834876652	0.915633672525439	2	303	response to hypoxia	0.420842497157715	POSTN, AQP1
GO:0001701	0.337133032309782	1.70342369586348	1.19666975023127	2	396	in utero embryonic development	0.490512488993531	NEK2, CCNB2
GO:0001704	0.0548109433557674	5.55025082165715	0.377736663583102	2	125	formation of primary germ layer	0.241488148637899	HMGA2, ATOH8
GO:0001775	0.658740600661294	0.890634238637707	3.34221399938329	3	1106	cell activation	0.720670106232446	IGFBP2, ZBTB16, IL1RL1
GO:0001816	0.422277874114468	1.28992958533587	2.36009867406722	3	781	cytokine production	0.546002601562019	POSTN, TREM1, IL1RL1
GO:0001817	0.685846666745774	0.848528276926469	2.33894542090657	2	774	regulation of cytokine production	0.739257734598542	POSTN, IL1RL1
GO:0001819	0.435300866076542	1.37582803246326	1.47166204131977	2	487	positive regulation of cytokine production	0.556356252702098	POSTN, IL1RL1
GO:0001822	0.0716793680413118	3.27118877270226	0.963983965464076	3	319	kidney development	0.267170198545346	AQP1, SMAD6, ZBTB16
GO:0001823	0.0401028637849447	6.63623218343318	0.317298797409806	2	105	mesonephros development	0.218512277474026	SMAD6, ZBTB16
GO:0001885	0.0169678188146914	10.7061170212766	0.199444958371878	2	66	endothelial cell development	0.179228017645911	CDH5, ROBO4
GO:0001894	0.190774962219153	2.57309279184532	0.800801726796176	2	265	tissue homeostasis	0.381104669306955	CDH5, CLDN18
GO:0001932	0.145464510771517	2.05585406301824	2.03675609004009	4	674	regulation of protein phosphorylation	0.342896989468678	CDH5, HMGA2, ADTRP, CDC6
GO:0001934	0.372355730012277	1.57227050244731	1.29337033610854	2	428	positive regulation of protein phosphorylation	0.512269517117793	HMGA2, ADTRP
GO:0001935	0.0851356863006028	4.28395557339756	0.486524822695035	2	161	endothelial cell proliferation	0.281271064866549	ATOH8, CAV2
GO:0001936	0.0652382680083276	5.01564455569462	0.417021276595745	2	138	regulation of endothelial cell proliferation	0.25798769621475	ATOH8, CAV2
GO:0001937	0.00850671943323097	15.5918762088975	0.139007092198582	2	46	negative regulation of endothelial cell proliferation	0.14882995241103	ATOH8, CAV2
GO:0001944	0.000395609949684173	4.61834221038615	2.29663891458526	9	760	vasculature development	0.0903474222591231	CDH5, WIF1, AQP1, SMAD6, ROBO4, ECSCR, ADAM12, HMGA2, ADTRP
GO:0002062	0.0450546532043152	6.21121856866538	0.338452050570459	2	112	chondrocyte differentiation	0.224903965585475	ZBTB16, HMGA2
GO:0002064	0.136506647123569	3.20232838217583	0.646685168054271	2	214	epithelial cell development	0.33530998634416	CDH5, ROBO4
GO:0002250	0.184854594826437	2.09524233784747	1.48374961455442	3	491	adaptive immune response	0.375672241098888	TREM1, C4BPA, IL1RL1
GO:0002252	0.596819261225695	1.00609756097561	1.98840579710145	2	658	immune effector process	0.671479215860121	TREM1, C4BPA
GO:0002376	0.0714470379096652	1.75129999358028	7.6695652173913	12	2538	immune system process	0.267170198545346	LYVE1, HMGB3, IGFBP2, IRF6, SMAD6, CLDN18, TREM1, C4BPA, ZBTB16, ADTRP, CCNB2, IL1RL1
GO:0002443	0.351515918529731	1.64765539233624	1.23595436324391	2	409	leukocyte mediated immunity	0.49861768878402	TREM1, C4BPA
GO:0002460	0.259809442769965	2.07410801963993	0.988159111933395	2	327	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.440326393265979	C4BPA, IL1RL1
GO:0002521	0.285054799280886	1.65469182211504	1.86148627813753	3	616	leukocyte differentiation	0.455638773653699	CLDN18, ZBTB16, IL1RL1
GO:0002573	0.162677474366106	2.86004129634617	0.722232500770891	2	239	myeloid leukocyte differentiation	0.354987704397578	CLDN18, IL1RL1
GO:0002682	0.186570876011104	1.57161290322581	4.70508788159112	7	1557	regulation of immune system process	0.377480609603862	LYVE1, IGFBP2, CLDN18, C4BPA, ZBTB16, ADTRP, IL1RL1
GO:0002683	0.0675619397259273	2.75098814229249	1.54116558741906	4	510	negative regulation of immune system process	0.259864555535304	CLDN18, C4BPA, ADTRP, IL1RL1
