p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name
2.28418109236215e-05	1463	98	26	0.26530612244898	0.0177717019822283	GO:0007155	GO:BP	cell adhesion
5.88867286306721e-05	8043	98	67	0.683673469387755	0.00833022504040781	GO:0050896	GO:BP	response to stimulus
0.000127234769516558	1451	98	24	0.244897959183673	0.0165403170227429	GO:0009719	GO:BP	response to endogenous stimulus
0.000238425122423257	6688	98	58	0.591836734693878	0.00867224880382775	GO:0051716	GO:BP	cellular response to stimulus
0.00126543662073582	1946	98	26	0.26530612244898	0.013360739979445	GO:0008283	GO:BP	cell population proliferation
0.00156131842163682	5171	98	47	0.479591836734694	0.00908915103461613	GO:0048519	GO:BP	negative regulation of biological process
0.00156131842163682	1625	98	23	0.23469387755102	0.0141538461538462	GO:0042127	GO:BP	regulation of cell population proliferation
0.0022053561973107	892	98	16	0.163265306122449	0.0179372197309417	GO:0014070	GO:BP	response to organic cyclic compound
0.0022053561973107	692	98	14	0.142857142857143	0.0202312138728324	GO:0008285	GO:BP	negative regulation of cell population proliferation
0.0022053561973107	4956	98	45	0.459183673469388	0.00907990314769976	GO:0048523	GO:BP	negative regulation of cellular process
0.0022053561973107	885	98	16	0.163265306122449	0.0180790960451977	GO:0009725	GO:BP	response to hormone
0.00240810947016928	1238	98	19	0.193877551020408	0.0153473344103393	GO:0022402	GO:BP	cell cycle process
0.00257639123706259	918	98	16	0.163265306122449	0.0174291938997821	GO:0098609	GO:BP	cell-cell adhesion
0.00257639123706259	3438	98	35	0.357142857142857	0.0101803374054683	GO:0042221	GO:BP	response to chemical
0.00263613943533656	288	98	9	0.0918367346938776	0.03125	GO:0045765	GO:BP	regulation of angiogenesis
0.00291051061037493	294	98	9	0.0918367346938776	0.0306122448979592	GO:1901342	GO:BP	regulation of vasculature development
0.00314794381894658	165	98	7	0.0714285714285714	0.0424242424242424	GO:0045766	GO:BP	positive regulation of angiogenesis
0.00314906784757687	168	98	7	0.0714285714285714	0.0416666666666667	GO:1904018	GO:BP	positive regulation of vasculature development
0.00314906784757687	1191	98	18	0.183673469387755	0.0151133501259446	GO:0071495	GO:BP	cellular response to endogenous stimulus
0.00314906784757687	6198	98	51	0.520408163265306	0.00822846079380445	GO:0032502	GO:BP	developmental process
0.00316753585227867	1081	98	17	0.173469387755102	0.0157261794634598	GO:0035295	GO:BP	tube development
0.00351694597992223	36	98	4	0.0408163265306122	0.111111111111111	GO:0006270	GO:BP	DNA replication initiation
0.00351694597992223	37	98	4	0.0408163265306122	0.108108108108108	GO:0035633	GO:BP	maintenance of blood-brain barrier
0.00351694597992223	320	98	9	0.0918367346938776	0.028125	GO:0045229	GO:BP	external encapsulating structure organization
0.00351694597992223	320	98	9	0.0918367346938776	0.028125	GO:0043062	GO:BP	extracellular structure organization
0.00351694597992223	37	98	4	0.0408163265306122	0.108108108108108	GO:0002446	GO:BP	neutrophil mediated immunity
0.00351694597992223	319	98	9	0.0918367346938776	0.0282131661442006	GO:0030198	GO:BP	extracellular matrix organization
0.00407272874902028	412	98	10	0.102040816326531	0.0242718446601942	GO:0007059	GO:BP	chromosome segregation
0.00471366102129544	10317	98	71	0.724489795918367	0.00688184549772221	GO:0050794	GO:BP	regulation of cellular process
0.0052156407065813	5693	98	47	0.479591836734694	0.00825575267872826	GO:0048856	GO:BP	anatomical structure development
0.0052156407065813	719	98	13	0.13265306122449	0.0180806675938804	GO:0001568	GO:BP	blood vessel development
0.0052156407065813	135	98	6	0.0612244897959184	0.0444444444444444	GO:0051384	GO:BP	response to glucocorticoid
0.00544020009422689	16	98	3	0.0306122448979592	0.1875	GO:0030214	GO:BP	hyaluronan catabolic process
0.00620585079352846	17	98	3	0.0306122448979592	0.176470588235294	GO:1902969	GO:BP	mitotic DNA replication
0.00620585079352846	536	98	11	0.112244897959184	0.0205223880597015	GO:0001525	GO:BP	angiogenesis
0.00624794379050068	1313	98	18	0.183673469387755	0.0137090632140137	GO:0051094	GO:BP	positive regulation of developmental process
0.00631672030505587	962	98	15	0.153061224489796	0.0155925155925156	GO:0006259	GO:BP	DNA metabolic process
0.00642788528591657	2110	98	24	0.244897959183673	0.0113744075829384	GO:0070887	GO:BP	cellular response to chemical stimulus
0.0064648807037637	749	98	13	0.13265306122449	0.0173564753004005	GO:0001944	GO:BP	vasculature development
0.00665268332688036	10698	98	72	0.73469387755102	0.00673022994952328	GO:0050789	GO:BP	regulation of biological process
0.00702655965468046	1593	98	20	0.204081632653061	0.0125549278091651	GO:1901700	GO:BP	response to oxygen-containing compound
0.0073160266552293	19	98	3	0.0306122448979592	0.157894736842105	GO:0046851	GO:BP	negative regulation of bone remodeling
0.00768743974467421	1741	98	21	0.214285714285714	0.0120620333141872	GO:0007049	GO:BP	cell cycle
0.00871235254468911	157	98	6	0.0612244897959184	0.0382165605095541	GO:0031960	GO:BP	response to corticosteroid
0.00907437125050655	4	98	2	0.0204081632653061	0.5	GO:0030185	GO:BP	nitric oxide transport
0.0101833948966015	3718	98	34	0.346938775510204	0.00914470145239376	GO:0006950	GO:BP	response to stress
0.0101833948966015	233	98	7	0.0714285714285714	0.0300429184549356	GO:0045444	GO:BP	fat cell differentiation
0.0103690749117556	400	98	9	0.0918367346938776	0.0225	GO:0007159	GO:BP	leukocyte cell-cell adhesion
0.0104556032369427	1933	98	22	0.224489795918367	0.0113812726332126	GO:0009888	GO:BP	tissue development
0.0109560403400753	703	98	12	0.122448979591837	0.0170697012802276	GO:0070848	GO:BP	response to growth factor
0.0109560403400753	23	98	3	0.0306122448979592	0.130434782608696	GO:0034104	GO:BP	negative regulation of tissue remodeling
0.0110096249054333	1164	98	16	0.163265306122449	0.013745704467354	GO:0048646	GO:BP	anatomical structure formation involved in morphogenesis
0.0110326979215736	602	98	11	0.112244897959184	0.0182724252491694	GO:0051276	GO:BP	chromosome organization
0.0113147707656419	2383	98	25	0.255102040816327	0.0104909777591272	GO:0050793	GO:BP	regulation of developmental process
0.0113462047100734	1052	98	15	0.153061224489796	0.0142585551330798	GO:0051726	GO:BP	regulation of cell cycle
0.013525618627829	623	98	11	0.112244897959184	0.0176565008025682	GO:0048514	GO:BP	blood vessel morphogenesis
0.013525618627829	2864	98	28	0.285714285714286	0.00977653631284916	GO:0051239	GO:BP	regulation of multicellular organismal process
0.013525618627829	335	98	8	0.0816326530612245	0.0238805970149254	GO:0048545	GO:BP	response to steroid hormone
0.0138743501902092	733	98	12	0.122448979591837	0.0163710777626194	GO:1903047	GO:BP	mitotic cell cycle process
0.0160033750880705	4515	98	38	0.387755102040816	0.00841638981173865	GO:0007275	GO:BP	multicellular organism development
0.0162752254569774	863	98	13	0.13265306122449	0.015063731170336	GO:0035239	GO:BP	tube morphogenesis
0.0162752254569774	28	98	3	0.0306122448979592	0.107142857142857	GO:0006027	GO:BP	glycosaminoglycan catabolic process
0.0170240609714297	11066	98	72	0.73469387755102	0.00650641604915959	GO:0065007	GO:BP	biological regulation
0.0172832293892641	354	98	8	0.0816326530612245	0.0225988700564972	GO:0007178	GO:BP	cell surface receptor protein serine/threonine kinase signaling pathway
0.0172832293892641	2628	98	26	0.26530612244898	0.00989345509893455	GO:0009653	GO:BP	anatomical structure morphogenesis
0.0176035251299101	70	98	4	0.0408163265306122	0.0571428571428571	GO:0043627	GO:BP	response to estrogen
0.0184813817435807	1122	98	15	0.153061224489796	0.0133689839572193	GO:0072359	GO:BP	circulatory system development
0.0198357094361956	1386	98	17	0.173469387755102	0.0122655122655123	GO:2000026	GO:BP	regulation of multicellular organismal development
0.0208613647237333	2225	98	23	0.23469387755102	0.0103370786516854	GO:0009605	GO:BP	response to external stimulus
0.0230583363553025	907	98	13	0.13265306122449	0.0143329658213892	GO:0033993	GO:BP	response to lipid
0.0246158032286433	34	98	3	0.0306122448979592	0.0882352941176471	GO:0030212	GO:BP	hyaluronan metabolic process
0.0246158032286433	78	98	4	0.0408163265306122	0.0512820512820513	GO:0060395	GO:BP	SMAD protein signal transduction
0.0246158032286433	34	98	3	0.0306122448979592	0.0882352941176471	GO:0006026	GO:BP	aminoglycan catabolic process
0.0254167296990396	8	98	2	0.0204081632653061	0.25	GO:0001781	GO:BP	neutrophil apoptotic process
0.0265985009274434	5907	98	45	0.459183673469388	0.00761808024377857	GO:0007154	GO:BP	cell communication
0.0266039499773734	485	98	9	0.0918367346938776	0.0185567010309278	GO:0051052	GO:BP	regulation of DNA metabolic process
0.0283115018189332	4191	98	35	0.357142857142857	0.00835122882366977	GO:0030154	GO:BP	cell differentiation
0.0283115018189332	4192	98	35	0.357142857142857	0.00834923664122137	GO:0048869	GO:BP	cellular developmental process
0.0306369719228704	306	98	7	0.0714285714285714	0.0228758169934641	GO:0006302	GO:BP	double-strand break repair
0.0320233969792382	309	98	7	0.0714285714285714	0.0226537216828479	GO:0098813	GO:BP	nuclear chromosome segregation
0.0324472383431423	1207	98	15	0.153061224489796	0.0124275062137531	GO:0040011	GO:BP	locomotion
0.0353303480984861	10	98	2	0.0204081632653061	0.2	GO:0046689	GO:BP	response to mercury ion
0.0353303480984861	40	98	3	0.0306122448979592	0.075	GO:0033260	GO:BP	nuclear DNA replication
0.0353303480984861	10	98	2	0.0204081632653061	0.2	GO:0031055	GO:BP	chromatin remodeling at centromere
0.0353303480984861	10	98	2	0.0204081632653061	0.2	GO:0034080	GO:BP	CENP-A containing chromatin assembly
0.03614997067726	623	98	10	0.102040816326531	0.0160513643659711	GO:0032870	GO:BP	cellular response to hormone stimulus
0.0368803041934647	157	98	5	0.0510204081632653	0.0318471337579618	GO:0006261	GO:BP	DNA-templated DNA replication
0.0370307510299597	235	98	6	0.0612244897959184	0.025531914893617	GO:0009636	GO:BP	response to toxic substance
0.0373767399696591	1108	98	14	0.142857142857143	0.0126353790613718	GO:0009628	GO:BP	response to abiotic stimulus
0.0373767399696591	742	98	11	0.112244897959184	0.0148247978436658	GO:0034330	GO:BP	cell junction organization
0.0387486539977305	94	98	4	0.0408163265306122	0.0425531914893617	GO:0034109	GO:BP	homotypic cell-cell adhesion
0.0389802456741957	11	98	2	0.0204081632653061	0.181818181818182	GO:0007144	GO:BP	female meiosis I
0.0389802456741957	11	98	2	0.0204081632653061	0.181818181818182	GO:0090306	GO:BP	meiotic spindle assembly
0.0389802456741957	528	98	9	0.0918367346938776	0.0170454545454545	GO:0044770	GO:BP	cell cycle phase transition
0.0395631948223185	332	98	7	0.0714285714285714	0.0210843373493976	GO:0141091	GO:BP	transforming growth factor beta receptor superfamily signaling pathway
