Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Spindle Assembly Checkpoint Signaling (GO:0071173)	5/26	3.837856121658953E-6	0.001439464895847922	0	0	25.80952380952381	321.86016112938086	CDC20;NUF2;BUB1B;TRIP13;MAD2L1
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	5/26	3.837856121658953E-6	0.001439464895847922	0	0	25.80952380952381	321.86016112938086	CDC20;NUF2;BUB1B;TRIP13;MAD2L1
Mitotic Spindle Checkpoint Signaling (GO:0071174)	5/26	3.837856121658953E-6	0.001439464895847922	0	0	25.80952380952381	321.86016112938086	CDC20;NUF2;BUB1B;TRIP13;MAD2L1
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	5/28	5.647458028792855E-6	0.001439464895847922	0	0	23.56298773690078	284.74233100589134	CDC20;NUF2;BUB1B;TRIP13;MAD2L1
Maintenance of Blood-Brain Barrier (GO:0035633)	5/28	5.647458028792855E-6	0.001439464895847922	0	0	23.56298773690078	284.74233100589134	CDH5;IL6;GJB6;SLC1A1;JAM2
Extracellular Matrix Organization (GO:0030198)	10/174	5.891397936621782E-6	0.001439464895847922	0	0	6.737804878048781	81.13676255363161	COL1A1;GREM1;MMP11;POSTN;COL1A2;MMP1;COL11A1;NCAPG;SLC39A8;ADAMTS8
Regulation of Epithelial to Mesenchymal Transition (GO:0010717)	7/89	2.0461513642189064E-5	0.003973895283916235	0	0	9.322570453683811	100.65546521685829	GREM1;COL1A1;IL6;RGCC;NKX2-1;DSG2;ZNF750
Negative Regulation of Cell Differentiation (GO:0045596)	10/202	2.168564957116636E-5	0.003973895283916235	0	0	5.7475328947368425	61.72195010342219	SOX2;GREM1;IL6;ZBTB16;CAV1;NKX2-1;PRAME;DSG2;SMAD6;ZNF750
Regulation of Endothelial Cell Differentiation (GO:0045601)	3/7	2.7533340531820135E-5	0.0040363877219648315	0	0	80.53934010152284	845.6721643327389	TMEM100;ATOH8;DSG2
Sulfur Amino Acid Transport (GO:0000101)	3/7	2.7533340531820135E-5	0.0040363877219648315	0	0	80.53934010152284	845.6721643327389	SLC7A5;SLC1A1;SLC7A11
Supramolecular Fiber Organization (GO:0097435)	12/324	5.824555687039501E-5	0.007578720037379124	0	0	4.264934533551555	41.58670595579191	COL1A1;GREM1;MFAP4;TPPP3;COL1A2;PLA2G1B;COL11A1;KRT14;DSG3;ARHGAP6;FBLN5;KRT6A
External Encapsulating Structure Organization (GO:0045229)	7/106	6.330487302349306E-5	0.007578720037379124	0	0	7.715496938294866	74.58993891430784	MMP11;POSTN;COL1A2;MMP1;COL11A1;SLC39A8;ADAMTS8
Extracellular Structure Organization (GO:0043062)	7/107	6.720556649790492E-5	0.007578720037379124	0	0	7.637979274611399	73.38382958673374	MMP11;POSTN;COL1A2;MMP1;COL11A1;SLC39A8;ADAMTS8
Regulation of Endothelial Cell Apoptotic Process (GO:2000351)	5/47	7.630429161719814E-5	0.007990149393629463	0	0	12.891941391941392	122.22567783159671	CDH5;RGCC;ANGPT1;ECSCR;TEK
Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	12/338	8.711646777243072E-5	0.008471594767334018	0	0	4.079036679284688	38.131914291219765	CDH5;IL6;RGCC;ANGPT1;LAMP3;NAMPT;NKX2-1;PKP1;HMGA2;SORBS1;ADTRP;SLC26A9
